2017-10-22 13:46:33: TR020-Ia: TT  450 (Up): Red
2017-10-26 14:28:12: TR020-Ha: TT  525 (Dn): Red
2017-11-09 15:57:49: TR020-Fa: TT  575 (Dn): Red
2017-11-14 08:53:42: TR020-Ga: TT  580 (Up): Red
2017-11-19 17:04:21: TR020-Ia: TT  630 (Up): Red
2017-11-27 18:04:33: TR020-Fa: TT  645 (Dn): Red
2017-11-28 16:25:38: TR020-Fa: TT  650 (Dn): Red
2017-12-11 11:21:17: TR020-Ga: TT  655 (Up): Red
2017-12-11 13:27:00: TR020-Fa: TT  655 (Dn): Red
2017-12-11 13:30:42: TR020-Ha: TT  655 (Dn): Red
2017-12-12 11:02:55: TR020-Ga: TT  660 (Up): Red
2017-12-12 13:06:14: TR020-Fa: TT  660 (Dn): Red
2017-12-12 13:09:57: TR020-Ha: TT  660 (Dn): Red
2018-01-08 10:37:52: TR020-Ia: TT  665 (Up): Red
2018-01-08 12:41:25: TR020-Fa: TT  665 (Dn): Red
2018-01-10 13:16:39: TR020-Ia: TT  670 (Up): Red
