tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	cooling_rate	cooling_rate_corr	cooling_rate_mcd	description	dip	geologic_classes	geologic_types	height	igsn	lat	lithologies	location	lon	method_codes	orientation_quality	sample	sample_alternatives	scientists	site	texture	timestamp
132.0		52.2	44.2	This study					-71.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001a			16tr001		3916:5:24
129.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-71.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001a			16tr001		3916:5:24
126.0		52.2	44.2	This study					-68.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001b			16tr001		3916:5:24
123.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-68.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001b			16tr001		3916:5:24
115.0		52.2	44.2	This study					-85.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001c			16tr001		3916:5:24
112.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-85.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001c			16tr001		3916:5:24
114.0		52.2	44.2	This study					-85.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001d			16tr001		3916:5:24
111.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-85.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001d			16tr001		3916:5:24
121.0		52.2	44.2	This study					-85.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001e			16tr001		3916:5:24
118.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-85.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001e			16tr001		3916:5:24
120.0		52.2	44.2	This study					-86.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001f			16tr001		3916:5:24
117.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-86.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001f			16tr001		3916:5:24
126.0		52.2	44.2	This study					-83.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001g			16tr001		3916:5:24
123.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-83.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001g			16tr001		3916:5:24
117.0		52.2	44.2	This study					-83.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001h			16tr001		3916:5:24
114.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-83.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001h			16tr001		3916:5:24
106.0		52.2	44.2	This study					-83.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001i			16tr001		3916:5:24
103.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-83.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001i			16tr001		3916:5:24
121.0		52.2	44.2	This study					-67.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr001j			16tr001		3916:5:24
118.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-67.0					27.99992			108.79987	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr001j			16tr001		3916:5:24
140.0		52.2	44.2	This study					-59.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002b			16tr002		3916:5:24
