tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	height	lat	lon	geologic_classes	geologic_types	lithologies	criteria	software_packages	citations	method_codes	result_quality	result_type	dir_n_specimens	site_definition
16tr001		16tr001b:16tr001c:16tr001d:16tr001f:16tr001h:16tr001i:16tr001j	16tr001b:16tr001c:16tr001d:16tr001f:16tr001h:16tr001i:16tr001j	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	    9.0 	HT	  302.7 	   58.7 	    46 	7.0	7 	0 		6.8690 	0		27.99992	108.79987				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	7 	s
16tr001		16tr001d:16tr001h:16tr001j	16tr001d:16tr001h:16tr001j	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	   21.3 	LT	  352.1 	   44.6 	    35 	3.0	3 	0 		2.9424 	0		27.99992	108.79987				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3 	s
16tr001		16tr001b:16tr001c:16tr001d:16tr001f:16tr001h:16tr001i:16tr001j	16tr001b:16tr001c:16tr001d:16tr001f:16tr001h:16tr001i:16tr001j	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	    9.0 	HT	    4.4 	   37.3 	    46 	7.0	7 	0 		6.8687 	100		27.99992	108.79987				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	7 	s
16tr001		16tr001d:16tr001h:16tr001j	16tr001d:16tr001h:16tr001j	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	   21.3 	LT	    9.9 	    4.9 	    35 	3.0	3 	0 		2.9423 	100		27.99992	108.79987				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3 	s
16tr002																					27.99994	108.79988											
16tr003		16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003h:16tr003i:16tr003k	16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003h:16tr003i:16tr003k	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	    7.5 	LT	  359.6 	   51.2 	    43 	10.0	10 	0 		9.7903 	0		27.99966	108.79978				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	10 	s
16tr003		16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003k	16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003k	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	   46.2 	HT	   61.7 	   69.4 	     2 	8.0	8 	0 		5.0745 	100		27.99966	108.79978				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	8 	s
16tr003		16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003h:16tr003i:16tr003k	16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003h:16tr003i:16tr003k	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	    7.5 	LT	   20.8 	    9.4 	    43 	10.0	10 	0 		9.7892 	100		27.99966	108.79978				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	10 	s
16tr003		16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003k	16tr003a:16tr003b:16tr003c:16tr003d:16tr003e:16tr003f:16tr003g:16tr003k	999.9599077743336	1999.9198155486672	0.0	999.9599077743336	Years Cal BP	   46.2 	HT	  222.4 	   57.7 	     2 	8.0	8 	0 		5.0754 	0		27.99966	108.79978				ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	8 	s
16tr004																					27.83472	108.79749											
