tab	specimens
analysts	citations	method_codes	sample	specimen	volume	weight
	This study	LP-NOMAG	TR002-B	TR002-Ba		
	This study	LP-NOMAG	TR002-C	TR002-Ca		
	This study	LP-NOMAG	TR002-D	TR002-Da		
	This study	LP-NOMAG	TR002-E	TR002-Ea		
	This study	LP-NOMAG	TR002-F	TR002-Fa		
	This study	LP-NOMAG	TR002-G	TR002-Ga		
	This study	LP-NOMAG	TR002-H	TR002-Ha		
	This study	LP-NOMAG	TR002-I	TR002-Ia		
