tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
TR002	Hongzixi	TR002-B:TR002-C:TR002-D:TR002-E:TR002-F:TR002-G:TR002-H:TR002-I	TR002-Ba:TR002-Ca:TR002-Da:TR002-Ea:TR002-Fa:TR002-Ga:TR002-Ha:TR002-Ia	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	   13.9 	HT	  340.0 	   61.8 	    18 	8	5 	3 	n	7.6904 	0	28.0	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:DE-BFP:LP-DC4:DE-FM-LP	g	i	   21.5 	   16.6 	   68.0 	   67.0 	8 
TR002	Hongzixi	TR002-B:TR002-C:TR002-D:TR002-E:TR002-F:TR002-G:TR002-H:TR002-I	TR002-Ba:TR002-Ca:TR002-Da:TR002-Ea:TR002-Fa:TR002-Ga:TR002-Ha:TR002-Ia	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	    6.5 	MT	  355.2 	   55.7 	    75 	8	8 	0 	n	7.9062 	0	28.0	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    9.3 	    6.7 	   80.8 	   83.8 	8 
TR002	Hongzixi	TR002-B:TR002-C:TR002-D:TR002-E:TR002-F:TR002-G:TR002-H:TR002-I	TR002-Ba:TR002-Ca:TR002-Da:TR002-Ea:TR002-Fa:TR002-Ga:TR002-Ha:TR002-Ia	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	   13.9 	HT	   18.7 	   23.2 	    18 	8	5 	3 	n	7.6897 	100	28.0	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:DE-BFP:LP-DC4:DE-FM-LP:DA-DIR-GEO	g	i	   14.8 	    7.9 	   66.4 	  237.3 	8 
TR002	Hongzixi	TR002-B:TR002-C:TR002-D:TR002-E:TR002-F:TR002-G:TR002-H:TR002-I	TR002-Ba:TR002-Ca:TR002-Da:TR002-Ea:TR002-Fa:TR002-Ga:TR002-Ha:TR002-Ia	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	    6.5 	MT	   19.9 	   13.3 	    75 	8	8 	0 	n	7.9062 	100	28.0	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    6.6 	    3.4 	   61.6 	  243.5 	8 
TR004	Mamagou	TR004-D:TR004-E:TR004-F:TR004-G:TR004-J:TR004-K:TR004-M:TR004-P:TR004-Q:TR004-R:TR004-S:TR004-T:TR004-U:TR004-X:TR004-Y	TR004-Da:TR004-Ea:TR004-Fa:TR004-Ga:TR004-Ja:TR004-Ka:TR004-Ma:TR004-Pa:TR004-Qa:TR004-Ra:TR004-Sa:TR004-Ta:TR004-Ua:TR004-Xa:TR004-Ya	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	   61.4 	HT	   36.9 	   48.3 	     1 	15	12 	3 	n	5.1326 	0	27.8	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFP:LP-DC4:DE-FM-LP	g	i	   80.5 	   52.8 	   57.7 	  187.2 	15 
TR004	Mamagou	TR004-A:TR004-B:TR004-D:TR004-E:TR004-F:TR004-G:TR004-H:TR004-I:TR004-J:TR004-K:TR004-N:TR004-Q:TR004-S:TR004-T:TR004-U:TR004-X:TR004-Y	TR004-Aa:TR004-Ba:TR004-Da:TR004-Ea:TR004-Fa:TR004-Ga:TR004-Ha:TR004-Ia:TR004-Ja:TR004-Ka:TR004-Na:TR004-Qa:TR004-Sa:TR004-Ta:TR004-Ua:TR004-Xa:TR004-Ya	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	    4.5 	LT	  351.9 	   43.9 	    63 	17	17 	0 	n	16.7478 	0	27.8	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    5.6 	    3.5 	   82.5 	    4.4 	17 
TR004	Mamagou	TR004-D:TR004-E:TR004-F:TR004-G:TR004-J:TR004-K:TR004-M:TR004-P:TR004-Q:TR004-R:TR004-S:TR004-T:TR004-U:TR004-X:TR004-Y	TR004-Da:TR004-Ea:TR004-Fa:TR004-Ga:TR004-Ja:TR004-Ka:TR004-Ma:TR004-Pa:TR004-Qa:TR004-Ra:TR004-Sa:TR004-Ta:TR004-Ua:TR004-Xa:TR004-Ya	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	   61.4 	HT	  355.8 	   61.0 	     1 	15	12 	3 	n	5.1318 	100	27.8	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFP:LP-DC4:DE-FM-LP:DA-DIR-GEO	g	i	   94.0 	   72.0 	   75.3 	   96.4 	15 
TR004	Mamagou	TR004-A:TR004-B:TR004-D:TR004-E:TR004-F:TR004-G:TR004-H:TR004-I:TR004-J:TR004-K:TR004-N:TR004-Q:TR004-S:TR004-T:TR004-U:TR004-X:TR004-Y	TR004-Aa:TR004-Ba:TR004-Da:TR004-Ea:TR004-Fa:TR004-Ga:TR004-Ha:TR004-Ia:TR004-Ja:TR004-Ka:TR004-Na:TR004-Qa:TR004-Sa:TR004-Ta:TR004-Ua:TR004-Xa:TR004-Ya	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	    4.5 	LT	  326.7 	   36.0 	    63 	17	17 	0 	n	16.7478 	100	27.8	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    5.2 	    3.0 	   58.7 	   11.7 	17 
TR006	Hongzixi	TR006-E:TR006-F:TR006-G:TR006-H:TR006-I:TR006-J:TR006-K:TR006-L:TR006-M:TR006-N:TR006-P:TR006-Q:TR006-R:TR006-S:TR006-T:TR006-U:TR006-V:TR006-W:TR006-X:TR006-Y:TR006-Z	TR006-Ea:TR006-Fa:TR006-Ga:TR006-Ha:TR006-Ia:TR006-Ja:TR006-Ka:TR006-La:TR006-Ma:TR006-Na:TR006-Pa:TR006-Qa:TR006-Ra:TR006-Sa:TR006-Ta:TR006-Ua:TR006-Va:TR006-Wa:TR006-Xa:TR006-Ya:TR006-Za	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	   24.7 	HT	  183.4 	   72.4 	     3 	21	19 	2 	t	13.6582 	0	28.0	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO:DE-BFL:DE-BFL-A:LP-DC4:DE-FM-LP	g	i	   43.8 	   38.8 	   -4.3 	  107.0 	21 
TR006	Hongzixi	TR006-A:TR006-B:TR006-D:TR006-F:TR006-G:TR006-H:TR006-N:TR006-P:TR006-Q:TR006-R:TR006-S:TR006-T:TR006-U:TR006-Y:TR006-Z	TR006-Aa:TR006-Ba:TR006-Da:TR006-Fa:TR006-Ga:TR006-Ha:TR006-Na:TR006-Pa:TR006-Qa:TR006-Ra:TR006-Sa:TR006-Ta:TR006-Ua:TR006-Ya:TR006-Za	999.4058233884718	1998.8116467769437	0.0	999.4058233884718	Years Cal BP	    5.0 	LT	    4.7 	   46.9 	    60 	15	15 	0 	n	14.7682 	0	28.0	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    6.5 	    4.2 	   85.9 	  196.1 	15 
