tab	specimens
analysts	citations	method_codes	sample	specimen	volume	weight
	This study	LP-NOMAG	TR014-A	TR014-Aa		
	This study	LP-NOMAG	TR014-B	TR014-Ba		
	This study	LP-NOMAG	TR014-C	TR014-Ca		
	This study	LP-NOMAG	TR014-D	TR014-Da		
	This study	LP-NOMAG	TR014-E	TR014-Ea		
	This study	LP-NOMAG	TR014-F	TR014-Fa		
	This study	LP-NOMAG	TR014-G	TR014-Ga		
	This study	LP-NOMAG	TR014-H	TR014-Ha		
	This study	LP-NOMAG	TR014-I	TR014-Ia		
	This study	LP-NOMAG	TR014-J	TR014-Ja		
	This study	LP-NOMAG	TR014-K	TR014-Ka		
	This study	LP-NOMAG	TR014-L	TR014-La		
