X,Y,n27_e108_1,n28_e108_1,localityId,localityNa,dataId,x,y,latitude,longitude,zone,altitude,horiz_prec,vert_preci,planeType,dip,dipAzimuth,strike,declinatio,unitId,timedate,notes
108.83695895,27.9501465,599.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,1eee9dc4e8ed8963468aa8cdbd41c754,287198.004613430006430,3093563.162261640187353,27.950146499999999,108.836958949999996,49R,12.000000000000000,5.000000000000000,-1.000000000000000,Bedding,11.773570060000001,109.791893009999995,19.791893009999999,-2.724914550000000,Madiyi,Mon Jun  6 19:16:03 2016,
108.83706171,27.95010292,594.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,71948b529694b77b6fa5c8704702308f,287208.031655460014008,3093558.153101750183851,27.950102919999999,108.837061710000000,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,8.819254880000001,111.459274289999996,21.459274290000000,-2.724914550000000,Madiyi,Mon Jun  6 19:14:05 2016,
108.83706171,27.95010292,594.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,71948b529694b77b6fa5c8704702308f,287208.031655460014008,3093558.153101750183851,27.950102919999999,108.837061710000000,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,8.819254880000001,111.459274289999996,21.459274290000000,-2.724914550000000,Madiyi,Mon Jun  6 19:14:05 2016,
108.83705257,27.95012274,594.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,2b46d1e8e0865b5358f3f8a7998d519a,287207.171466959989630,3093560.365802669897676,27.950122740000001,108.837052569999997,49R,4.000000000000000,5.000000000000000,-1.000000000000000,Bedding,10.169126510000000,116.549255369999997,26.549255370000001,-2.724914550000000,Madiyi,Mon Jun  6 19:13:40 2016,
108.83710756,27.95009872,588.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,7f329660b34b8a71f6bacbff6f31a2a3,287212.535314090026077,3093557.608795700129122,27.950098720000000,108.837107560000007,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,11.084271429999999,119.296829220000006,29.296829219999999,-2.724914550000000,Madiyi,Mon Jun  6 19:13:10 2016,
108.83709247,27.95010325,588.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,5a34182d541e0101aafc080c908d1a95,287211.059479480027221,3093558.136669499799609,27.950103250000002,108.837092470000002,49R,16.000000000000000,10.000000000000000,-1.000000000000000,Bedding,7.986440180000000,118.849121089999997,28.849121090000001,-2.724914550000000,Madiyi,Mon Jun  6 19:12:49 2016,Site 16TR044
108.61729282,27.86519675,862.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,e3787ba51dbb5dfe0d33b632b1619fa2,265396.976359309977852,3084550.516883510164917,27.865196749999999,108.617292820000003,49R,16.000000000000000,10.000000000000000,-1.000000000000000,Bedding,9.334940910000000,281.719818120000014,191.719818120000014,-2.724914550000000,Madiyi,Sun Jun  5 01:08:24 2016,Very fine sandstone to siltstone
108.61703063,27.86499135,862.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,679de3002ac08b2acd35cf32dfebfcad,265370.710141420015134,3084528.255371669773012,27.864991350000000,108.617030630000002,49R,24.000000000000000,10.000000000000000,-1.000000000000000,Bedding,19.430086140000000,269.939910890000021,179.939910889999993,-2.724914550000000,Madiyi,Sun Jun  5 01:07:00 2016,
108.61713205,27.86490188,867.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,25c539914b2c91df82834482d849b876,265380.506540670001414,3084518.144607599824667,27.864901880000001,108.617132049999995,49R,24.000000000000000,10.000000000000000,-1.000000000000000,Bedding,17.014860150000001,275.445037839999998,185.445037839999998,-2.724914550000000,Madiyi,Sun Jun  5 01:04:21 2016,
108.61638774,27.86439976,873.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,38a2e687764438dda596b6317d6d3918,265306.114121929975227,3084463.922288780100644,27.864399760000001,108.616387739999993,49R,16.000000000000000,30.000000000000000,-1.000000000000000,Bedding,15.677502629999999,253.483139039999998,163.483139039999998,-2.724914550000000,Madiyi,Sun Jun  5 00:55:55 2016,Grey siltstone
108.61670642,27.86487941,889.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,cbef372b336633834671d5d1b721b8d1,265338.536161559983157,3084516.470472929999232,27.864879410000000,108.616706420000000,49R,12.000000000000000,5.000000000000000,-1.000000000000000,Bedding,17.599727630000000,280.194152830000007,190.194152830000007,-2.724914550000000,Madiyi,Sun Jun  5 00:49:22 2016,Fine sandstone
108.61692318,27.86496767,862.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,2247a47b7217e7fa46823b62e445a063,265360.075422659981996,3084525.836967139970511,27.864967669999999,108.616923180000001,49R,8.000000000000000,5.000000000000000,-1.000000000000000,Bedding,22.368417740000002,268.403472899999997,178.403472899999997,-2.724914550000000,Madiyi,Sun Jun  5 00:48:00 2016,Fine sandstone
108.61708109,27.8661504,858.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,1405ceb0fb363854abe15c9d73411def,265378.178493180021178,3084656.613039319869131,27.866150399999999,108.617081089999999,49R,12.000000000000000,10.000000000000000,-1.000000000000000,Bedding,20.187509540000001,189.281570429999988,99.281570430000002,-2.724914550000000,Sibao,Sun Jun  5 00:32:30 2016,Fine sandstone
