name,terrane,age,age upper,age lower,plat,plon,a95,f,slat,slon,dec,inc,dir_a95,pole ref,age ref,grade,note,plateID,age upper diff,age lower diff,centroid_lat,Banxi_dec,Banxi_inc
Xiaofeng Dikes - Jing et al. (2019),SChina,821,821.84,820.9,26.1,82.1,14.587666023048374,1.0,30.96,111.23,266.5,76.3,8.2,Jing et al. (2019),Wang et al. (2016),B,-,602,0.8400000000000318,0.10000000000002274,66.1715270976517,271.9,77.5
Banxi Group - site mean (f=0.6),SChina,814,815,813,43.0,104.0,8.19939022122987,0.6,27.91,108.82,346.8,82.0,4.3,this study,this study,NR,-,602,1,1,74.41491789751313,346.8,82.1
Madiyi Formation - site mean (f=0.6),SChina,804.9,805.26,804.54,34.63619151604563,81.52920387112,6.718968266746631,0.6,27.5,109.6,293.5713499977569,76.88322455124717,3.741693262704819,Xian et al. (2020),this study,NR,-,602,0.36000000000001364,0.36000000000001364,65.80936624383168,293.0,77.3
Chengjiang Formation - site mean (f=0.6),SChina,799.5,807.9,791.1,29.99061271175446,74.87591425837131,8.076752678579266,0.6,25.145,102.411,287.4887385916947,76.97845118996618,4.491403458273275,Jing et al. (2019),Jing et al. (2019),NR,-,602,8.399999999999977,8.399999999999977,60.33215339900602,282.3,74.1
Liantuo Formation - Jing et al. (2015) (f=0.6),SChina,750,780,720,19.585641352636753,144.48348861814748,6.19019950818213,0.6,30.819,111.069,102.5,72.58479750184307,3.7,Jing et al. (2015),Ma et al. (1984),B,-,602,30,30,56.44161148757925,96.4,71.7
