age,n,poles,slat,slon,plon,plat,a95,k
815,3,"['Xiaofeng Dikes - Jing et al. (2019)', 'Banxi Group - site mean (f=0.6)', 'Madiyi Formation - site mean (f=0.6)']",28.790000000000003,109.88333333333333,88.583156019132,34.90640655859031,20.126118812183,38.57466385707378
805,3,"['Banxi Group - site mean (f=0.6)', 'Madiyi Formation - site mean (f=0.6)', 'Chengjiang Formation - site mean (f=0.6)']",26.851666666666663,106.94366666666667,86.07119027282204,36.4040029246532,21.01416473868868,35.47075646127166
795,2,"['Madiyi Formation - site mean (f=0.6)', 'Chengjiang Formation - site mean (f=0.6)']",26.322499999999998,106.0055,78.35614531444428,32.384008021095546,16.723797875227085,225.1025185736619
775,2,"['Liantuo Formation - Jing et al. (2021) site mean (f=0.6)', 'Liantuo Formation - site mean (f=0.6)']",30.81,110.9945,140.45865558208803,22.32141652133666,19.94389073128977,158.90489949620437
