name,terrane,age,age upper,age lower,plat,plon,a95,f,slat,slon,dec,inc,dir_a95,pole ref,age ref,grade,note,plateID
Lower Akitkan Khibelen group (Malaya Kosa formation),Siberia-west-Akitkan,1878,1882,1874,-30.8,98.7,3.5,,54.7,108.8,188.7,8.1,,"Didenko, A.N., Vodovozov, V.Yu., Pisarevsky, S.A., Gladkochub, D.P., Donskaya, T.V., Mazukabzov, A.M., Stanevich, A.M., Bibikova, E.V., Kirnozova, T.I. (2009)",,A,,403
Upper Akitkan Group,Siberia-west-Akitkan,1863,1872,1854,-22.1,97.5,5.16139516,,57.6,110.8,192.5,18.6,,"Didenko, A.N., Vodovozov, V.Yu., Pisarevsky, S.A., Gladkochub, D.P., Donskaya, T.V., Mazukabzov, A.M., Stanevich, A.M., Bibikova, E.V., Kirnozova, T.I. (2009)",,A,,403
Shumikhinsk Granitoids,Siberia-west-Tungus,1851,1858,1843,-24.9,106.6,5.194227565,,52.1,103.8,177.4,24.6,,"Didenko,A.N., Kozakov,I.K., Bibikova,E.V., Vodovozov,V.Yu., Khil'tova,V.J., Reznitsky,L.Z., Ivanov,A.V., Levitsky,V.I., Travin,A.V., Shevchenko,D.O., Rasskazov,S.V. (2003)",,B,,403
Elgetey Formation,Siberia-east-Aldan,1732,1736,1728,7.1,183.5,13.2,,56.25,134.55,122.4,46.4,,"Didenko, A.N., Vodovozov, V.Yu., Peskov, A.Yu., Guryanov, V.A., Kosynkin, A.V. (2015)",,A,,403
Ulkan granite,Siberia-east-Aldan,1719,1729,1709,42.1,249.4,4.4,,56.29,134.46,46.8,39.8,,"Didenko, A.N., Vodovozov, V.Yu., Peskov, A.Yu., Guryanov, V.A., Kosynkin, A.V. (2015)",,B,,403
West Anabar Intrusions,Siberia-west,1503,1505,1500,25.3,241.4,4.6,,70.6,104.5,218.7,-20.0,,"Evans, D.A.D., Veselovsky, R.V., Petrov, P.Yu., Shatsillo, A.V., Pavlov, V.E. (2016)",,A,,403
Kuonamka Dykes,Siberia-west,1503,1508,1498,-6.0,54.0,19.79898987,,70.0,110.0,56.8,-9.5,,"Ernst,R.E., Buchan,K.L., Hamilton,M.A., Okrugin,A.V., Tomshin,M.D. (2000)",,B,,403
North Anabar Intrusions,Siberia-west,1483,1500,1466,23.9,255.3,7.5,,71.7,106.8,28.3,14.1,,"Evans, D.A.D., Veselovsky, R.V., Petrov, P.Yu., Shatsillo, A.V., Pavlov, V.E. (2016)",,B,,403
Sololi-Kyutingde intrusions,Siberia-west,1473,1497,1449,-33.6,73.1,10.4,,70.7,124.2,43.8,36.7,,"Wingate,M.T.D., Pisarevsky,S.A., Gladkochub,D.P., Donskaya,T.V., Konstantinov,K.M., Mazukabzov,A.M., Stanevich,A.M. (2009)",,A,,403
Linok Formation,Siberia-west,1050,1100,1000,15.2,76.2,7.5,,66.0,88.4,15.2,-57.9,,"Gallet,Y., Pavlov,V.E., Semikhatov,M.A. (2000)",,B,,401
Kartochka Formation,Siberia-west,1050,1100,1000,19.1,36.3,11.8,,58.7,97.0,254.7,50.6,,"Gallet,Y., Pavlov,V., Halverson, G., Hulot, G. (2012)",,B,,401
Malgina Formation,Siberia-east,1050,1120,1000,25.4,50.5,2.6,,58.3,135.0,99.7,-42.0,,"Gallet,Y., Pavlov,V.E., Semikhatov,M.A. (2000)",,B,,403
Kumakha Formation,Siberia-east,1040,1095,985,13.9,21.2,7.0,,58.9,135.10001,297.2,3.9,,"Pavlov, V.E., Gallet, Y., Shatsillo, A.V. (2000)",,B,,403
Milkon Formation,Siberia-east,1025,1065,985,5.6,15.9,3.8,,58.1,135.5,298.7,-18.5,,"Pavlov, V.E., Gallet, Y., Shatsillo, A.V. (2000)",,B,,403
Nelkan Formation,Siberia-east,1013,1025,1000,14.4,39.1,6.3,,58.3,135.60001,283.5,15.6,,"Pavlov, V.E., Gallet, Y., Shatsillo, A.V. (2000)",,B,,403
Ignican Formation,Siberia-east,1013,1025,1000,16.0,21.4,7.4,,58.7,135.2,300.0,5.0,,"Pavlov, V.E., Gallet, Y., Shatsillo, A.V. (2000)",,B,,403
Kandyk Formation combined,Siberia-east,975,1000,950,3.1,356.5,4.3,,59.4,136.39999,136.9,35.8,,"Pavlov, V.E., Gallet, Y., Petrov, P.Yu., Zhuravlev, D.Z.,Shatsillo, A.V. (2002)",,B,,403
Ust-Kirba Formation combined,Siberia-east,945,960,930,8.1,2.6,10.4,,58.7,136.7,133.0,26.1,,"Pavlov, V.E., Gallet, Y., Petrov, P.Yu., Zhuravlev, D.Z.,Shatsillo, A.V. (2002)",,B,,403
Kitoi Cryogenian dykes,Siberia-west,758,762,754,1.1,21.8,5.6,,52.3,102.8,80.8,-12.1,,"Pisarevsky, S.A., Gladkochub, D.P., Konstantinov, K.M., Mazukabzov, A.M., Stanevich, A.M., Murphy, J.M., Tait, J.A., Donskaya, T.V., Konstantinov, K. (2013)",,A,,401
