Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,
Mingyaci,30/05/16,27.91403139,108.8025235,27.91029801,108.8220714,WGS84,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOUR,FEATURES,HASH,,ASH,ASH_HEIGHT,,DZ,DZ_HEIGHT,,PM_SITE,PM_SAMPLE,PM_HEIGHT
7.4,si,fss,green,,,,Mingyaci-#11+161.2,828.2,,Mingyaci-6.1,6.1,,16TR005,A,11.15
7.5,si,ccg,swatch,,,,,,,Mingyaci-#11+127.0,794,,16TR005,B,11.15
71.1,cover,cover,cover,,1,,,,,,,,16TR005,C,11.15
43.9,si,sts-vfss,green,,2,,,,,,,,16TR005,D,11.15
189,cover,cover,cover,,3,,,,,,,,16TR005,E,11.15
38.8,si,sts,purple,,,,,,,,,,16TR005,F,11.15
36.8,cover,cover,cover,,4,,,,,,,,16TR005,G,11.15
6,si,sts,purple,concretions,,,,,,,,,16TR005,H,11.15
22.3,cover,cover,cover,,5,,,,,,,,16TR005,I,11.15
30,si,sts-vfss,purple-green,,,,,,,,,,16TR005,J,11.15
6,si,sts-vfss,purple-green,concretions,,,,,,,,,16TR005,K,11.15
25.2,cover,cover,cover,,6,,,,,,,,16TR005,L,11.15
7.1,si,sts,purple,,,,,,,,,,16TR005,M,11.15
1.5,si,sts-vfss,green,,,,,,,,,,16TR005,N,11.15
24.5,cover,cover,cover,,7,,,,,,,,16TR005,P,11.15
38.4,si,sts-vfss,green,,8,,,,,,,,16TR005,Q,11.15
54.5,si,sts-vfss,purple,,9,,,,,,,,16TR005,R,11.15
23.2,si,sts-vfss,green,,10,,,,,,,,16TR005,S,11.15
90.8,si,sts-vfss,purple,,11 negative corrected (height 667),,,,,,,,16TR005,U,11.15
55.5,si,sts,brick red,,,,,,,,,,16TR005,V,11.15
13,cover,cover,cover,,,,,,,,,,16TR005,W,11.15
35.7,si,sts-vfss,purple-green,,,,,,,,,,16TR005,X,11.15
0.1,tuff,tuff,tuff,,,,,,,,,,16TR005,Y,11.15
10.8,si,sts-vfss,purple-green,,,,,,,,,,16TR005,Z,11.15
40.7,cover,cover,cover,,12,,,,,,,,16TR005,AA,11.15
43.9,si,sts-vfss,green,,,,,,,,,,16TR005,BB,11.15
64.2,cover,cover,cover,,13,,,,,,,,16TR005,CC,11.15
10.5,si,sts-vfss,green,,,,,,,,,,16TR005,DD,11.15
24.2,cover,cover,cover,,14,,,,,,,,16TR005,EE,11.15
3,si,sts,brick red,,,,,,,,,,16TR005,FF,11.15
20.6,cover,cover,cover,,15,,,,,,,,16TR005,GG,11.15
24.8,si,sts,brick red,,,,,,,,,,16TR005,HH,11.15
,,,,,,,,,,,,,16TR005,II,11.15
,,,,,,,,,,,,,16TR005,JJ,11.15
,,,,,,,,,,,,,16TR005,KK,11.15
,,,,,,,,,,,,,16TR016,A,766
,,,,,,,,,,,,,16TR016,B,766.23
,,,,,,,,,,,,,16TR016,C,766.3
,,,,,,,,,,,,,16TR016,D,766.72
,,,,,,,,,,,,,16TR016,E,766.88
,,,,,,,,,,,,,16TR016,F,767
,,,,,,,,,,,,,16TR016,I,767.68
,,,,,,,,,,,,,16TR016,J,767.89
,,,,,,,,,,,,,16TR016,K,767.91
,,,,,,,,,,,,,16TR017,A,794.3
,,,,,,,,,,,,,16TR017,B,794.26
,,,,,,,,,,,,,16TR017,C,795.66
,,,,,,,,,,,,,16TR017,D,797.24
,,,,,,,,,,,,,16TR017,E,797.26
,,,,,,,,,,,,,16TR017,F,797.67
,,,,,,,,,,,,,16TR017,G,797.7
,,,,,,,,,,,,,16TR017,H,797.82
,,,,,,,,,,,,,16TR017,I,798.53
,,,,,,,,,,,,,16TR017,J,807.86
,,,,,,,,,,,,,16TR017,K,808.01
,,,,,,,,,,,,,16TR017,L,808.03
,,,,,,,,,,,,,16TR017,M,809.16
,,,,,,,,,,,,,16TR017,N,809.72
,,,,,,,,,,,,,16TR028,A,638.7
,,,,,,,,,,,,,16TR028,B,638.9
,,,,,,,,,,,,,16TR028,C,639.17
,,,,,,,,,,,,,16TR028,D,639.34
,,,,,,,,,,,,,16TR028,E,640.59
,,,,,,,,,,,,,16TR028,F,640.86
,,,,,,,,,,,,,16TR028,G,641.08
,,,,,,,,,,,,,16TR028,H,644.03
,,,,,,,,,,,,,16TR028,I,644.13
,,,,,,,,,,,,,16TR028,J,644.25
,,,,,,,,,,,,,16TR028,K,644.45
,,,,,,,,,,,,,16TR029,A,124.9
,,,,,,,,,,,,,16TR029,B,125.38
,,,,,,,,,,,,,16TR029,C,125.39
,,,,,,,,,,,,,16TR029,D,125.81
,,,,,,,,,,,,,16TR029,E,126.92
,,,,,,,,,,,,,16TR029,F,126.93
,,,,,,,,,,,,,16TR029,G,127.03
,,,,,,,,,,,,,16TR029,H,127.63
,,,,,,,,,,,,,16TR029,I,127.88
,,,,,,,,,,,,,16TR029,J,128.18
,,,,,,,,,,,,,16TR029,K,128.57
,,,,,,,,,,,,,16TR029,L,129.68
,,,,,,,,,,,,,16TR029,M,129.88
