tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	-68.7	0.0	14.1	101.0	This study	-61.0			0.25		SO-CMD-NORTH	TR030-A	TR030
	-69.7	0.0	14.1	101.0	This study	-63.0			0.36		SO-CMD-NORTH	TR030-B	TR030
	-72.7	0.0	14.1	101.0	This study	-65.0			0.59		SO-CMD-NORTH	TR030-C	TR030
	-71.7	0.0	14.1	101.0	This study	-69.0			0.78		SO-CMD-NORTH	TR030-D	TR030
	-70.7	0.0	14.1	101.0	This study	-76.0			0.98		SO-CMD-NORTH	TR030-E	TR030
	-77.7	0.0	14.1	101.0	This study	-77.0			1.12		SO-CMD-NORTH	TR030-F	TR030
	-71.7	0.0	14.1	101.0	This study	-66.0			1.31		SO-CMD-NORTH	TR030-G	TR030
	-59.7	0.0	14.1	101.0	This study	-78.0			1.53		SO-CMD-NORTH	TR030-H	TR030
	-81.7	0.0	14.1	101.0	This study	-52.0			1.69		SO-CMD-NORTH	TR030-I	TR030
	-83.7	0.0	14.1	101.0	This study	-52.0			1.84		SO-CMD-NORTH	TR030-J	TR030
	-85.7	0.0	14.1	101.0	This study	-52.0			1.98		SO-CMD-NORTH	TR030-K	TR030
	-87.7	0.0	14.1	101.0	This study	-53.0			2.08		SO-CMD-NORTH	TR030-L	TR030
	-87.7	0.0	14.1	101.0	This study	-53.0			2.2		SO-CMD-NORTH	TR030-M	TR030
	-82.7	0.0	14.1	101.0	This study	-77.0			2.41		SO-CMD-NORTH	TR030-N	TR030
	-75.7	0.0	14.1	101.0	This study	-71.0			2.54		SO-CMD-NORTH	TR030-P	TR030
	-63.7	0.0	14.1	101.0	This study	-67.0			2.71		SO-CMD-NORTH	TR030-Q	TR030
	-78.7	0.0	14.1	101.0	This study	-79.0			2.9		SO-CMD-NORTH	TR030-R	TR030
	266.3	0.0	14.1	101.0	This study	-53.0			3.32		SO-CMD-NORTH	TR030-S	TR030
	259.3	0.0	14.1	101.0	This study	-49.0			3.46		SO-CMD-NORTH	TR030-T	TR030
	-76.7	0.0	14.1	101.0	This study	-32.0			3.53		SO-CMD-NORTH	TR030-U	TR030
	250.3	0.0	14.1	101.0	This study	-71.0			3.88		SO-CMD-NORTH	TR030-X	TR030
	248.3	0.0	14.1	101.0	This study	-56.0			3.99		SO-CMD-NORTH	TR030-Y	TR030
	252.3	0.0	14.1	101.0	This study	-60.0			4.18		SO-CMD-NORTH	TR030-Z	TR030
	-29.7	0.0	22.1	93.0	This study	-60.0			26.37		SO-CMD-NORTH	TR040-B	TR040
	5.3	0.0	22.1	93.0	This study	-64.0			26.63		SO-CMD-NORTH	TR040-C	TR040
	-37.7	0.0	22.1	93.0	This study	-64.0			27.47		SO-CMD-NORTH	TR040-D	TR040
	-18.7	0.0	22.1	93.0	This study	-79.0			28.38		SO-CMD-NORTH	TR040-E	TR040
	31.3	0.0	22.1	93.0	This study	-80.0			29.83		SO-CMD-NORTH	TR040-F	TR040
	18.3	0.0	22.1	93.0	This study	-56.0			30.1		SO-CMD-NORTH	TR040-G	TR040
	9.3	0.0	22.1	93.0	This study	-46.0			30.3		SO-CMD-NORTH	TR040-H	TR040
	-15.7	0.0	22.1	93.0	This study	-74.0			30.56		SO-CMD-NORTH	TR040-J	TR040
