tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
TR016	Mingyaci	TR016-B:TR016-C:TR016-D:TR016-E:TR016-F:TR016-I:TR016-J	TR016-Ba:TR016-Ca:TR016-Da:TR016-Ea:TR016-Fa:TR016-Ia:TR016-Ja	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	   23.4 	HT	   93.6 	  -67.4 	     8 	7	7 	0 	t	6.2109 	0	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   39.0 	   32.4 	  -23.3 	  244.8 	7 
TR016	Mingyaci	TR016-B:TR016-C:TR016-D:TR016-E:TR016-F:TR016-I	TR016-Ba:TR016-Ca:TR016-Da:TR016-Ea:TR016-Fa:TR016-Ia	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	    9.7 	LT	   13.1 	   39.0 	    49 	6	6 	0 	n	5.8980 	0	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   11.6 	    6.9 	   76.8 	  222.2 	6 
TR016	Mingyaci	TR016-B:TR016-C:TR016-D:TR016-E:TR016-F:TR016-I:TR016-J	TR016-Ba:TR016-Ca:TR016-Da:TR016-Ea:TR016-Fa:TR016-Ia:TR016-Ja	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	   23.4 	HT	  340.5 	  -61.6 	     8 	7	7 	0 	t	6.2115 	100	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   36.1 	   27.9 	   17.1 	  303.7 	7 
TR016	Mingyaci	TR016-B:TR016-C:TR016-D:TR016-E:TR016-F:TR016-I	TR016-Ba:TR016-Ca:TR016-Da:TR016-Ea:TR016-Fa:TR016-Ia	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	    9.6 	LT	   54.9 	   45.0 	    49 	6	6 	0 	n	5.8988 	100	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   12.1 	    7.7 	   41.6 	  186.9 	6 
TR028	Mingyaci	TR028-C:TR028-E:TR028-F:TR028-J:TR028-K	TR028-Ca:TR028-Ea:TR028-Fa:TR028-Ja:TR028-Ka	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	   14.3 	HT	  189.1 	   57.1 	    31 	5	4 	1 	t	4.8877 	0	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFP:LP-DC4:DE-FM-LP	g	i	   20.8 	   15.2 	  -23.8 	  100.9 	5 
TR028	Mingyaci	TR028-A:TR028-D:TR028-F:TR028-G:TR028-H:TR028-I:TR028-J:TR028-K	TR028-Aa:TR028-Da:TR028-Fa:TR028-Ga:TR028-Ha:TR028-Ia:TR028-Ja:TR028-Ka	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	   10.8 	LT	   15.1 	   44.4 	    27 	8	8 	0 	n	7.7446 	0	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   13.6 	    8.5 	   76.4 	  203.0 	8 
TR028	Mingyaci	TR028-C:TR028-E:TR028-F:TR028-J:TR028-K	TR028-Ca:TR028-Ea:TR028-Fa:TR028-Ja:TR028-Ka	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	   14.3 	HT	  166.1 	   45.7 	    31 	5	4 	1 	t	4.8878 	100	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFP:LP-DC4:DE-FM-LP:DA-DIR-GEO	g	i	   18.2 	   11.6 	  -33.4 	  123.6 	5 
TR028	Mingyaci	TR028-A:TR028-D:TR028-F:TR028-G:TR028-H:TR028-I:TR028-J:TR028-K	TR028-Aa:TR028-Da:TR028-Fa:TR028-Ga:TR028-Ha:TR028-Ia:TR028-Ja:TR028-Ka	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	   10.8 	LT	   36.7 	   45.7 	    27 	8	8 	0 	n	7.7445 	100	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   13.8 	    8.8 	   57.6 	  191.4 	8 
TR030	Luoman1	TR030-P:TR030-R:TR030-T:TR030-Y	TR030-Pa:TR030-Ra:TR030-Ta:TR030-Ya	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	   34.4 	HT	  353.8 	   52.4 	     8 	4	4 	0 	n	3.6301 	0	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   47.3 	   32.5 	   82.6 	   64.0 	4 
TR030	Luoman1	TR030-A:TR030-B:TR030-C:TR030-D:TR030-E:TR030-F:TR030-G:TR030-H:TR030-I:TR030-J:TR030-K:TR030-L:TR030-M:TR030-N:TR030-Q:TR030-X	TR030-Aa:TR030-Ba:TR030-Ca:TR030-Da:TR030-Ea:TR030-Fa:TR030-Ga:TR030-Ha:TR030-Ia:TR030-Ja:TR030-Ka:TR030-La:TR030-Ma:TR030-Na:TR030-Qa:TR030-Xa	999.405826658151	1998.811653316302	0.0	999.405826658151	Years Cal BP	    5.6 	LT	  359.1 	   51.4 	    44 	16	16 	0 	n	15.6586 	0	27.9	108.8		ACCEPT	pmagpy-4.2.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    7.6 	    5.2 	   85.8 	   98.4 	16 
