Name          Field         Freq.         Km            L             F             P             Pj            T             U             K1dec         K1inc         K2dec         K2inc         K3dec         K3inc         K11           K22           K33           K12           K23           K13
16TR007R1      200          F1             426.3684      1.057         1.024         1.082         1.084        -0.393        -0.41          20.1          53.2          135.8         18            237           30.9          1.00178       0.9794        1.01883      -0.00137       0.01791       0.03084 
16TR007S1      200          F1             321.3787      1.05          1.042         1.094         1.094        -0.08         -0.103         14.8          49            122.8         15.1          224.6         37.1          1.00388       0.98563       1.01049      -0.00758       0.01997       0.03766 
16TR007T1      200          F1             444.7752      1.057         1.027         1.085         1.087        -0.346        -0.364         18.8          47.7          128.7         17.2          232.2         37.2          1.00653       0.98231       1.01116      -0.00028       0.01894       0.03413 
16TR007U1      200          F1             402.7834      1.055         1.029         1.085         1.087        -0.31         -0.329         17.4          49.5          126.1         15.3          227.7         36.4          1.00386       0.9833        1.01284      -0.0023        0.01781       0.03454 
16TR007V1      200          F1             397.3903      1.052         1.038         1.092         1.092        -0.147        -0.169         21.1          49.7          130.6         15.8          232.5         35.9          1.00487       0.98276       1.01236      -0.00436       0.02288       0.03422 
16TR007W2      200          F1             456.47        1.046         1.022         1.07          1.071        -0.352        -0.366         28.5          54.5          158.6         24.7          260.3         23.9          1.00327       0.97793       1.0188        0.00356       0.01821       0.02049 
16TR007X1      200          F1             344.2148      1.053         1.014         1.067         1.071        -0.584        -0.595         20.8          44.8          123.9         12.9          225.9         42.4          1.00648       0.98662       1.0069        0.00508       0.01395       0.02893 
16TR007Y1      200          F1             266.0067      1.056         1.022         1.079         1.081        -0.438        -0.453         28.7          39.6          144.1         27.4          258.1         38.2          1.01324       0.98378       1.00298       0.01126       0.02295       0.0259 
16TR007Z1      200          F1             399.619       1.052         1.025         1.078         1.08         -0.339        -0.355         13.2          48.3          127.6         20.2          232.3         34.6          1.00632       0.98192       1.01176      -0.00296       0.01478       0.03168 
16TR009A2      423          F1             170.9781      1.05          1.037         1.089         1.089        -0.153        -0.173         26.7          46.5          128.4         10.9          228.2         41.5          1.00525       0.98885       1.0059       -0.00031       0.02424       0.03396 
16TR009B3      423          F1             254.6012      1.04          1.021         1.061         1.062        -0.309        -0.322         22.2          54.1          159           27.8          260.5         20.8          1.00471       0.97839       1.0169        0.00187       0.01369       0.0184 
16TR009C2      423          F1             206.0834      1.036         1.017         1.054         1.055        -0.353        -0.365         17.7          50.5          153.6         30.6          257.7         22.4          1.00614       0.98122       1.01264       0.00121       0.01115       0.01812 
16TR009D1      423          F1             216.2274      1.049         1.033         1.083         1.084        -0.191        -0.21          21.3          38.1          121.8         13            227.1         48.9          1.01407       0.99103       0.99491       0.00334       0.02001       0.03256 
16TR009E1      423          F1             258.7574      1.047         1.038         1.087         1.087        -0.102        -0.123         10            38.9          106.9         8.4           207           49.8          1.01195       0.99432       0.99372      -0.00129       0.01212       0.03851 
16TR009F1      423          F1             266.7867      1.039         1.024         1.064         1.064        -0.244        -0.259         24.5          53.3          160.1         28            262.2         21.6          1.00582       0.97756       1.01663       0.00259       0.01554       0.01807 
16TR009G1      423          F1             278.0473      1.049         1.029         1.079         1.08         -0.251        -0.269         16.4          46.7          122.3         14.5          224.7         39.7          1.00575       0.98678       1.00747      -0.00209       0.01649       0.03298 
16TR009H1      423          F1             227.4155      1.048         1.036         1.086         1.086        -0.131        -0.151         11.7          40.4          111.7         11.5          214.4         47.3          1.01124       0.99186       0.9969       -0.00202       0.01457       0.03722 
16TR009I1      423          F1             166.8785      1.056         1.022         1.08          1.082        -0.419        -0.435         14            46            116           11.3          216.3         41.8          1.00608       0.98618       1.00774       0.00051       0.01309       0.03549 
16TR009J3      423          F1             254.9709      1.045         1.037         1.084         1.084        -0.101        -0.121         12.1          43.4          113.1         11.4          214.4         44.3          1.00717       0.99204       1.0008       -0.00355       0.01469       0.03658 
16TR009K1      423          F1             228.9597      1.049         1.031         1.082         1.083        -0.225        -0.244         8             45.9          107.9         9.5           206.7         42.6          1.00402       0.99078       1.0052       -0.00323       0.01009       0.03756 
16TR009L3      423          F1             236.083       1.048         1.02          1.069         1.071        -0.405        -0.419         18.4          50.8          126.8         14.4          227.3         35.5          1.00179       0.98551       1.01269      -0.00075       0.01415       0.02842 
16TR009M1      423          F1             223.6192      1.044         1.027         1.072         1.073        -0.232        -0.248         15.8          45.3          116           10            215.5         43            1.00491       0.9911        1.00399      -0.00097       0.01352       0.03163 
16TR009N1      423          F1             229.0998      1.048         1.037         1.087         1.087        -0.129        -0.149         13.6          47.2          109.6         5.6           204.7         42.2          1.00068       0.99366       1.00566      -0.00236       0.013         0.0393 
16TR011A1      200          F1             322.8705      1.042         1.022         1.065         1.066        -0.317        -0.331         26.6          45.3          142.2         23.1          250           35.7          1.00804       0.98483       1.00713       0.00385       0.0189        0.0223 
16TR011B1      200          F1             307.0331      1.046         1.016         1.062         1.065        -0.49         -0.502         22.8          51.8          136.6         17.6          238.3         32.6          1.00166       0.98467       1.01367       0.00142       0.01447       0.02409 
16TR011C1      200          F1             250.4653      1.039         1.02          1.06          1.061        -0.307        -0.321         21.7          49.5          134.7         18.5          238           34.6          1.00404       0.98629       1.00967      -0.00045       0.01493       0.02263 
16TR011D1      200          F1             256.7817      1.043         1.009         1.053         1.056        -0.643        -0.65          9.6           44.1          155.3         40.4          261.3         17.9          1.00993       0.98149       1.00858       0.00236       0.00613       0.02133 
16TR011E1      200          F1             305.7031      1.037         1.02          1.058         1.059        -0.287        -0.3           17.1          46.1          132.2         22.2          239.2         35.5          1.00708       0.98614       1.00678      -0.00082       0.01348       0.02245 
16TR011F1      200          F1             292.6252      1.043         1.016         1.059         1.061        -0.45         -0.461         18.7          46.9          132.5         20.7          238.4         35.8          1.00601       0.98572       1.00827       0.00142       0.01303       0.02382 
16TR011G2      200          F1             297.3352      1.042         1.021         1.064         1.065        -0.333        -0.347         25.5          52.2          136           15.2          236.4         33.6          1.00129       0.98598       1.01272      -0.00038       0.01649       0.02343 
16TR011H1      200          F1             291.4634      1.047         1.013         1.061         1.064        -0.563        -0.573         22            47.5          132.9         18.2          237.1         36.9          1.00465       0.98585       1.00951       0.00372       0.01388       0.02501 
16TR011I1      200          F1             285.7559      1.04          1.019         1.06          1.062        -0.346        -0.359         18.9          48.7          133.1         19.7          237.3         34.5          1.0048        0.98573       1.00947      -0.00047       0.01384       0.02349 
16TR011J1      200          F1             274.8025      1.045         1.007         1.052         1.057        -0.737        -0.743         19.9          53.7          124.3         10.4          221.5         34.3          0.9986        0.98717       1.01423       0.00276       0.00927       0.02228 
16TR011K1      200          F1             194.9382      1.044         1.017         1.062         1.064        -0.434        -0.446         29.9          61.3          144.9         13            241.1         25.1          0.99542       0.98308       1.0215       -0.00144       0.01475       0.019 
16TR013A2      200          F1             533.6473      1.049         1.009         1.058         1.063        -0.679        -0.687         191.1         29            62            48.7          297.2         26.6          1.02095       0.98263       0.99642       0.00986      -0.00074      -0.02167 
16TR013B2      200          F1             544.9868      1.046         1.005         1.051         1.056        -0.804        -0.809         11.6          30.9          210.7         57.7          106.8         8.7           1.01799       0.98369       0.99832       0.00777       0.00328       0.01957 
16TR013C1      200          F1             464.0176      1.05          1.004         1.055         1.061        -0.85         -0.853         10            28.9          253.5         39            125.1         37.5          1.02079       0.98429       0.99492       0.00767       0.0021        0.02174 
16TR013D1      200          F1             513.9899      1.045         1.009         1.054         1.058        -0.664        -0.671         8.7           30.5          178.4         59.1          276           4.5           1.02006       0.98046       0.99948       0.00579       0.00359       0.01895 
16TR013E2      200          F1             574.599       1.058         1.009         1.068         1.074        -0.738        -0.745         16.5          26.4          277.6         17.2          158.3         57.7          1.02396       0.98701       0.98903       0.01335       0.00509       0.02548 
16TR013F1      200          F1             547.6318      1.064         1.007         1.071         1.079        -0.81         -0.816         18.3          30.9          135.4         37.3          261           37.4          1.02275       0.98182       0.99542       0.01311       0.01169       0.02674 
16TR013H1      200          F1             565.7902      1.053         1.003         1.056         1.063        -0.901        -0.904         16.8          31.1          123.4         25.3          245           47.9          1.01835       0.9857        0.99595       0.01016       0.00788       0.02267 
16TR013I1      200          F1             551.0544      1.06          1.011         1.072         1.077        -0.683        -0.692         16.2          29.4          247.9         47.8          123.1         27.4          1.02264       0.9815        0.99586       0.01585       0.00336       0.02656 
16TR013J1      200          F1             525.6243      1.06          1.013         1.073         1.078        -0.63         -0.641         19.9          28.3          244.3         53            122.3         21.8          1.02178       0.98211       0.99611       0.01955       0.00458       0.02534 
16TR013K1      200          F1             639.4672      1.049         1.023         1.074         1.075        -0.347        -0.363         16.9          33.4          212.4         55.6          111.7         7.2           1.01932       0.97493       1.00576       0.01709       0.00385       0.02242 
16TR013L1      200          F1             555.7883      1.036         1.031         1.069         1.069        -0.069        -0.085         26.3          36.6          176.3         49.4          284.8         15.1          1.01493       0.97624       1.00882       0.01621       0.01505       0.01349 
16TR013M2      200          F1             401.9494      1.052         1.001         1.053         1.061        -0.979        -0.98          14.9          30            198.5         60            105.8         1.6           1.0191        0.98505       0.99585       0.00972       0.0057        0.02155 
16TR015A1      200          F1             381.6304      1.043         1.006         1.049         1.054        -0.758        -0.763         11.2          28.3          261.9         31.6          133.8         45            1.01809       0.9875        0.99442       0.00771       0.00139       0.01937 
16TR015B1      200          F1             312.9388      1.04          1.013         1.053         1.056        -0.502        -0.512         14.5          26.6          275.6         17.2          156.4         57.6          1.01764       0.99246       0.98989       0.00902       0.00165       0.02061 
16TR015C1      200          F1             372.9231      1.039         1.008         1.048         1.051        -0.664        -0.67          18.8          33.9          263.6         32.3          142.3         39.3          1.01074       0.99063       0.99863       0.01042       0.00351       0.0201 
16TR015D2      200          F1             346.5025      1.051         1.005         1.056         1.062        -0.825        -0.83          9.2           24.8          236.4         55.7          110           22            1.02442       0.98249       0.99309       0.00778       0.00153       0.01929 
16TR015E1      200          F1             403.7336      1.044         1.003         1.047         1.053        -0.862        -0.865         28.2          28.4          132.6         24.6          256.8         50.8          1.01257       0.99292       0.99451       0.01371       0.01009       0.01634 
16TR015F2      200          F1             371.1017      1.043         1.005         1.047         1.052        -0.797        -0.801         10.5          28.4          259.2         33.9          130.6         42.8          1.01793       0.98718       0.99489       0.00708       0.00146       0.0188 
16TR015G1      200          F1             297.7034      1.05          1.003         1.053         1.06         -0.899        -0.902         7.2           26.9          124.2         41.8          255.3         36.3          1.0229        0.9835        0.99361       0.00448       0.00367       0.02002 
16TR015H1      200          F1             357.76        1.046         1.009         1.055         1.059        -0.674        -0.681         15.6          27.6          259.7         39.9          129.4         37.7          1.01867       0.98709       0.99424       0.01186       0.00178       0.0206 
16TR015I2      200          F1             416.3315      1.034         1.005         1.039         1.042        -0.721        -0.726         10.2          24            100.6         1             192.8         66            1.01676       0.99149       0.99174       0.00464       0.00262       0.01407 
16TR015J2      200          F1             391.5921      1.048         1.012         1.06          1.064        -0.607        -0.617         9.4           23.6          273           14.3          154.4         61.9          1.02481       0.98847       0.98672       0.00745       0.00083       0.02151 
16TR015K1      200          F1             376.4917      1.045         1.013         1.059         1.062        -0.547        -0.557         14.6          28.5          258.3         39.2          129.3         37.7          1.01854       0.98672       0.99474       0.01234      -0.00005       0.0221 
16TR017A1      423          F1             226.9814      1.012         1.047         1.059         1.063         0.598         0.589         173.8         30.3          57.4          37.2          291           38            1.01629       0.98674       0.99697       0.0085        0.02117      -0.01302 
16TR017B1      423          F1             236.508       1.015         1.044         1.06          1.062         0.491         0.48          182.2         36.3          40            47            287.4         19.7          1.01559       0.97475       1.00966       0.0112        0.01269      -0.01124 
16TR017C1      423          F1             281.9095      1.012         1.044         1.056         1.059         0.571         0.562         183.4         25.6          67.1          42.7          294.1         36.4          1.01518       0.98737       0.99745       0.01079       0.01818      -0.01289 
16TR017D1      423          F1             271.6447      1.015         1.029         1.045         1.046         0.311         0.301         181.8         28.5          61.2          43.1          292.9         33.5          1.0132        0.98758       0.99922       0.00747       0.01187      -0.01152 
16TR017E2      423          F1             274.876       1.013         1.033         1.046         1.047         0.433         0.424         181.3         29            62.1          41.3          294.1         34.9          1.01258       0.98851       0.99891       0.00821       0.01351      -0.01158 
16TR017F1      423          F1             338.7113      1.014         1.04          1.054         1.056         0.47          0.459         183.1         23            72.1          40            294.9         41.2          1.01626       0.99015       0.99358       0.00898       0.01704      -0.01316 
16TR017G1      423          F1             272.5365      1.012         1.032         1.044         1.046         0.472         0.463         181.3         28.6          56            46.7          289.2         29.4          1.01301       0.98531       1.00168       0.00765       0.01266      -0.00932 
16TR017H2      423          F1             260.7224      1.014         1.04          1.054         1.056         0.483         0.473         179.4         30.5          60.4          39.5          294.3         35.6          1.01422       0.98705       0.99873       0.00946       0.01673      -0.01356 
16TR017I2      423          F1             307.7256      1.012         1.031         1.044         1.045         0.421         0.413         179.7         34.8          46.1          44.8          288.6         24.9          1.01181       0.98358       1.00461       0.00746       0.01096      -0.00956 
16TR017J1      423          F1             319.3965      1.02          1.061         1.082         1.086         0.501         0.486         161.9         50.8          39.8          23.4          295.7         29.4          1.01167       0.97755       1.01078       0.01492       0.02556      -0.02023 
16TR017K1      423          F1             200.1908      1.029         1.043         1.073         1.073         0.197         0.18          168.9         41.3          53.6          26            301.6         37.6          1.01271       0.986         1.00128       0.0085        0.01975      -0.02442 
16TR017L1      423          F1             274.4337      1.021         1.062         1.084         1.087         0.49          0.474         171.3         42.9          51.1          28.5          299.8         33.8          1.01364       0.98227       1.00409       0.01588       0.02526      -0.02395 
16TR017M1      423          F1             160.7888      1.019         1.015         1.034         1.034        -0.136        -0.144         155.3         56.9          3.5           29.9          265.9         12.9          1.00304       0.98589       1.01107      -0.00313       0.00675      -0.00772 
16TR017N2      423          F1             276.0329      1.008         1.017         1.025         1.025         0.371         0.365         193.8         14.9          88.8          44.1          297.7         42.1          1.00778       0.9962        0.99601       0.00541       0.00685      -0.00568 
16TR019A1      200          F1             457.6713      1.012         1.03          1.042         1.043         0.429         0.421         350.8         5.9           232           78            81.9          10.5          1.01669       0.97838       1.00493      -0.00579      -0.00536       0.00046 
16TR019J1      200          F1             451.8284      1.022         1.039         1.062         1.062         0.275         0.261         25.9          12.8          276.9         55.2          124           31.7          1.01364       0.99049       0.99587       0.02088      -0.01187       0.01369 
16TR027A1      200          F1             532.627       1.035         1.031         1.067         1.067        -0.067        -0.083         193.8         20.4          71.6          55.1          294.7         27            1.02321       0.98045       0.99634       0.01617       0.00821      -0.01622 
16TR027C1      200          F1             516.0582      1.018         1.052         1.072         1.074         0.472         0.458         185.6         13.2          80.8          47.3          286.8         39.7          1.02551       0.98345       0.99103       0.00992       0.02318      -0.01125 
16TR027D2      200          F1             414.269       1.028         1.026         1.055         1.055        -0.033        -0.046         211.3         10.4          7.8           78.6          120.4         4.4           1.01252       0.98753       0.99994       0.02323      -0.00431      -0.00329 
16TR027E1      200          F1             529.4788      1.033         1.03          1.065         1.065        -0.047        -0.063         211.2         2.6           115.8         64.3          302.5         25.6          1.0161        0.99061       0.99329       0.02559       0.00886      -0.00746 
16TR027F1      200          F1             562.2552      1.024         1.037         1.062         1.062         0.196         0.181         188.4         10.1          93.6          25            298.7         62.8          1.02517       0.99842       0.97641       0.00654       0.01201      -0.01109 
16TR027G1      200          F1             430.3706      1.05          1.026         1.078         1.079        -0.305        -0.322         280.9         47.8          44.8          26.8          151.7         29.8          0.97796       1.0092        1.01284       0.00381      -0.02939       0.01433 
16TR027H1      200          F1             543.7018      1.039         1.035         1.075         1.075        -0.057        -0.075         171.7         24.3          67.3          28.8          295.2         50.7          1.02723       0.98791       0.98486       0.00057       0.01688      -0.02133 
16TR027I1      200          F1             595.2067      1.045         1.027         1.074         1.075        -0.248        -0.265         184.2         29.1          69.7          36.7          301.7         39.6          1.02367       0.98261       0.99372       0.00952       0.00956      -0.02594 
16TR027J1      200          F1             609.871       1.027         1.028         1.056         1.056         0.019         0.006         158.3         26.5          46            37.3          274.2         41.2          1.01859       0.98773       0.99368      -0.00626       0.01738      -0.01094 
16TR027K2      200          F1             594.4705      1.044         1.032         1.077         1.078        -0.154        -0.173         163.9         28            39.6          46.7          271.8         30            1.02721       0.97516       0.99763      -0.00834       0.01838      -0.01786 
16TR029A2      200          F1             477.927       1.028         1.073         1.103         1.107         0.436         0.416         178.4         38.1          43.5          42            289.3         24.5          1.02487       0.96259       1.01254       0.01739       0.02495      -0.02243 
16TR029B2      200          F1             478.7894      1.027         1.087         1.117         1.122         0.516         0.496         186.5         27.3          59.8          49.2          292.2         27.7          1.03042       0.96342       1.00616       0.02494       0.02994      -0.02394 
16TR029C1      200          F1             410.1853      1.026         1.091         1.12          1.126         0.543         0.522         181.9         27.4          60.8          44.9          291.3         32.6          1.0326        0.9669        1.0005        0.0212        0.0357       -0.02497 
16TR029D2      200          F1             458.4951      1.027         1.087         1.116         1.121         0.518         0.497         184.4         21.3          71.5          44.9          291.7         37.4          1.03447       0.97398       0.99155       0.01934       0.03566      -0.02363 
16TR029E1      200          F1             647.1653      1.027         1.094         1.123         1.13          0.545         0.524         197.8         16.9          3.4           72.6          106.6         4.1           1.0357        0.94235       1.02196       0.03116      -0.00831      -0.00546 
16TR029F2      200          F1             473.5585      1.024         1.086         1.112         1.117         0.556         0.538         177.3         34.6          49.9          41.3          290.2         29.4          1.02781       0.96504       1.00715       0.01901       0.03286      -0.02318 
16TR029G2      200          F1             480.3783      1.033         1.09          1.126         1.131         0.448         0.424         178.1         28.1          61.3          40.2          291.8         37            1.03559       0.97052       0.99389       0.01761       0.03785      -0.02908 
16TR029H1      200          F1             477.326       1.028         1.094         1.124         1.13          0.529         0.508         180.4         25.1          65.4          42.1          291.4         37.5          1.0357        0.97198       0.99231       0.01883       0.03924      -0.02636 
16TR029I1      200          F1             451.131       1.014         1.102         1.118         1.129         0.746         0.733         185.9         24            68            46.4          293.3         33.8          1.02863       0.97157       0.9998        0.02507       0.0398       -0.02277 
16TR029J1      200          F1             502.5773      1.018         1.095         1.115         1.124         0.67          0.655         186.8         22.5          67.3          49.9          291.4         31.2          1.03043       0.96721       1.00236       0.02395       0.03589      -0.02086 
16TR029K1      200          F1             440.137       1.038         1.071         1.112         1.114         0.294         0.27          193.4         12.7          88.2          49.4          293.5         37.8          1.03762       0.97622       0.98616       0.02364       0.0279       -0.02106 
16TR029L1      200          F1             461.2681      1.032         1.076         1.11          1.113         0.392         0.37          186.8         21.7          66.1          52            289.8         29.5          1.0345        0.96541       1.0001        0.02049       0.02736      -0.0215 
16TR029M1      200          F1             487.1931      1.027         1.092         1.121         1.127         0.54          0.52          190.5         19.6          75.6          49.8          294.1         33.5          1.0328        0.9707        0.9965        0.02645       0.03438      -0.02446 
16TR031A1      200          F1             243.8067      1.032         1.025         1.059         1.059        -0.115        -0.129         17            3.7           107.8         12.2          270.5         77.3          1.02684       0.99907       0.97408       0.00895       0.00593       0.00192 
16TR031B1      200          F1             332.8819      1.031         1.023         1.054         1.054        -0.146        -0.159         14.4          3.9           105.8         19.7          273.5         69.9          1.02567       0.99649       0.97785       0.00744       0.00764       0.00159 
16TR031C1      200          F1             348.6048      1.026         1.015         1.042         1.043        -0.256        -0.265         15.1          5.1           106.6         16.2          268           73            1.02054       0.99681       0.98265       0.0065        0.00486       0.0024 
16TR031D1      200          F1             287.9694      1.025         1.016         1.042         1.042        -0.211        -0.221         15            11.2          109.1         20            257.4         66.8          1.01947       0.99621       0.98432       0.00553       0.00692       0.00592 
16TR031E1      200          F1             297.5818      1.023         1.02          1.044         1.044        -0.066        -0.077         17.5          10.6          111.2         19.1          260           67.9          1.01928       0.99819       0.98253       0.00598       0.00812       0.00523 
16TR031F1      200          F1             299.7411      1.023         1.02          1.043         1.043        -0.078        -0.088         10.9          6.8           104           24.6          266.6         64.4          1.02043       0.99602       0.98355       0.00396       0.00794       0.00307 
16TR031G1      200          F1             333.9587      1.03          1.017         1.047         1.048        -0.262        -0.273         20.2          14.9          114.4         15.3          247.9         68.4          1.01977       0.9971        0.98313       0.00817       0.00791       0.00909 
