Name          Field         Freq.         Km            L             F             P             Pj            T             U             K1dec         K1inc         K2dec         K2inc         K3dec         K3inc         K11           K22           K33           K12           K23           K13
16TR001A1      200          F1             262.2548      1.041         1.014         1.056         1.058        -0.477        -0.488         34.4          60.1          151.8         14.8          249           25.4          0.99652       0.98431       1.01917       0.00089       0.01506       0.01653 
16TR001B1      200          F1             285.055       1.043         1.019         1.063         1.064        -0.39         -0.403         32.9          59.6          143           11.4          239.1         27.8          0.99577       0.98453       1.0197       -0.00127       0.01663       0.01955 
16TR001C1      200          F1             213.3984      1.038         1.027         1.065         1.066        -0.174        -0.189         28.5          50.4          144.3         19.8          247.7         32.7          1.00519       0.98387       1.01094       0.00001       0.01966       0.02074 
16TR001D1      200          F1             257.9028      1.039         1.023         1.063         1.064        -0.258        -0.273         33.1          50.8          147.3         18.5          249.9         33.1          1.0035        0.98525       1.01125       0.00207       0.02004       0.01953 
16TR001E1      200          F1             265.3212      1.037         1.023         1.061         1.062        -0.234        -0.248         36.1          60.6          146.9         11.3          242.7         26.8          0.99717       0.98407       1.01876      -0.00302       0.01743       0.01701 
16TR001F1      200          F1             330.0439      1.039         1.027         1.067         1.067        -0.178        -0.194         37.1          58.1          149.4         13.3          246.8         28.4          0.99955       0.98261       1.01784      -0.00212       0.02062       0.01822 
16TR001G1      200          F1             276.6722      1.039         1.024         1.065         1.065        -0.23         -0.244         35.2          53.5          145.7         14.5          245.2         32.6          1.00115       0.98557       1.01328       0.00009       0.02055       0.0198 
16TR001H1      200          F1             345.2471      1.034         1.028         1.063         1.063        -0.089        -0.104         27.8          54.3          133.2         10.8          230.5         33.5          0.99916       0.98898       1.01186      -0.00462       0.0173        0.0223 
16TR001I1      200          F1             317.9272      1.04          1.013         1.054         1.056        -0.52         -0.529         31.6          53.7          150.8         19.7          252.3         29.1          1.00007       0.98603       1.01391       0.00353       0.015         0.01789 
16TR001J1      200          F1             280.6257      1.034         1.029         1.064         1.064        -0.09         -0.106         21.4          54.9          135.4         16            235.1         30.4          1.0009        0.98548       1.01363      -0.00582       0.01578       0.02192 
16TR003A1      200          F1             309.4655      1.044         1.02          1.065         1.067        -0.365        -0.379         349           41.6          151.5         47.1          251.1         8.9           1.01362       0.97557       1.0108       -0.0105       -0.0013        0.02237 
16TR003B1      200          F1             301.5958      1.051         1.016         1.068         1.071        -0.519        -0.531         352           41.2          186.1         48            88.2          7             1.0164        0.9736        1.01         -0.00442      -0.00536       0.02478 
16TR003C1      200          F1             313.9158      1.04          1.026         1.068         1.068        -0.208        -0.224         26            46.8          141.1         21.6          247.3         35.2          1.00774       0.98426       1.008         0.00136       0.01983       0.0226 
16TR003D1      200          F1             281.4553      1.046         1.028         1.075         1.076        -0.248        -0.265         27.9          54.2          144.6         18            245.3         29.8          1.00234       0.98031       1.01735      -0.00116       0.02072       0.02418 
16TR003E1      200          F1             319.4295      1.043         1.028         1.073         1.073        -0.2          -0.216         26.9          47.4          146.2         24.2          252.9         32.6          1.00883       0.98107       1.0101        0.00241       0.0216        0.02269 
16TR003F1      200          F1             229.9568      1.056         1.016         1.073         1.077        -0.549        -0.561         30.2          50.2          149           21.8          253.1         31.4          1.00271       0.98208       1.01521       0.00674       0.02037       0.02558 
16TR003G1      200          F1             320.1053      1.044         1.024         1.069         1.07         -0.282        -0.297         22.1          51.4          134.2         16.7          235.8         33.6          1.00268       0.98466       1.01266      -0.0017        0.01687       0.02562 
16TR003H1      200          F1             307.0705      1.044         1.026         1.071         1.072        -0.254        -0.27          31.1          54.8          160.9         24.3          262.4         23.8          1.00408       0.97702       1.0189        0.00366       0.01982       0.01886 
16TR003I1      200          F1             279.5479      1.047         1.015         1.062         1.065        -0.513        -0.524         25.4          57.1          146.4         18.5          245.9         26.2          0.99863       0.98224       1.01913       0.00095       0.01425       0.02139 
16TR003J1      200          F1             295.7229      1.046         1.025         1.072         1.073        -0.295        -0.311         22.5          53            145.3         22.2          247.8         27.9          1.00424       0.97901       1.01674      -0.0007        0.01771       0.02416 
16TR003K1      200          F1             276.5595      1.047         1.018         1.066         1.068        -0.439        -0.452         24.4          56.4          155.9         23.8          256.3         22.3          1.00133       0.97845       1.02021       0.00191       0.01494       0.02112 
16TR006AA1     200          F1             387.2131      1.052         1.031         1.085         1.086        -0.252        -0.271         14.9          48.4          129.6         20.3          234.3         34.5          1.00715       0.98072       1.01213      -0.00391       0.018         0.03314 
16TR007A1      200          F1             275.2009      1.053         1.034         1.089         1.09         -0.216        -0.237         23.4          49.4          125.6         10.2          223.9         38.7          1.00177       0.98717       1.01106      -0.00179       0.0215        0.03562 
16TR007AA1     200          F1             366.8508      1.049         1.021         1.071         1.073        -0.384        -0.398         23.3          52.1          139.7         19.1          241.8         31.4          1.00283       0.98195       1.01522       0.00034       0.0174        0.02583 
16TR007B2      200          F1             450.1171      1.057         1.026         1.084         1.086        -0.367        -0.385         23.5          47.9          129.3         13.9          230.7         38.8          1.00477       0.98449       1.01074       0.0018        0.0206        0.0334 
16TR007C1      200          F1             386.526       1.053         1.029         1.084         1.085        -0.285        -0.304         32.8          54.6          154.3         20.4          255.5         27.6          1.00296       0.97621       1.02083       0.00273       0.02478       0.02391 
16TR007D1      200          F1             397.8035      1.057         1.022         1.08          1.083        -0.433        -0.448         25.4          41            119.2         4.3           214.1         48.6          1.0081        0.99132       1.00058       0.00806       0.01793       0.03399 
16TR007E2      200          F1             413.7859      1.056         1.026         1.084         1.085        -0.363        -0.38          22.6          45            120.8         8.1           218.7         43.9          1.00559       0.98883       1.00558       0.00354       0.01849       0.03541 
16TR007F1      200          F1             401.1544      1.056         1.028         1.085         1.087        -0.334        -0.352         23.6          48.5          127.6         12.1          227.5         38.9          1.00347       0.98553       1.011         0.00089       0.02055       0.03395 
16TR007G!      200          F1             335.9366      1.041         1.038         1.081         1.081        -0.039        -0.059         20            48.3          123.7         11.9          223.7         39.3          1.00308       0.99019       1.00673      -0.00508       0.01933       0.0321 
16TR007H1      200          F1             316.2025      1.042         1.032         1.075         1.075        -0.132        -0.15          9.1           51.6          125.8         19.5          228.3         31.5          1.00214       0.98428       1.01358      -0.0086        0.01348       0.02917 
16TR007I1      200          F1             382.9662      1.053         1.02          1.075         1.077        -0.447        -0.462         23.4          47.4          134.2         18            238.4         37            1.00586       0.98369       1.01045       0.0033        0.01845       0.02907 
16TR007J1      200          F1             418.4425      1.048         1.025         1.074         1.075        -0.299        -0.315         27.3          46.2          126.7         8.9           225           42.5          1.00363       0.99056       1.00582       0.00255       0.01947       0.02959 
16TR007K1      200          F1             406.8999      1.049         1.037         1.087         1.087        -0.138        -0.158         30.1          49.2          131.1         9.3           228.8         39.3          1.00191       0.9889        1.00919      -0.00146       0.02492       0.03201 
16TR007L1      200          F1             406.9724      1.048         1.029         1.079         1.08         -0.248        -0.266         19.5          49.9          138.4         22.1          242.8         31.5          1.00676       0.97944       1.0138       -0.00196       0.01895       0.02799 
16TR007M1      200          F1             348.7332      1.054         1.031         1.087         1.088        -0.263        -0.282         25.4          43.6          121.3         6.1           217.6         45.7          1.00587       0.99183       1.0023        0.00383       0.02075       0.03623 
16TR007N1      200          F1             371.8385      1.052         1.034         1.088         1.089        -0.198        -0.218         26.9          57.1          146.6         17.8          245.9         26.7          1.00152       0.97496       1.02353      -0.00374       0.02272       0.02637 
16TR007P1      200          F1             399.5337      1.049         1.037         1.088         1.088        -0.14         -0.161         21.9          50.5          125.6         11            224.1         37.3          1.00093       0.98737       1.0117       -0.00435       0.02089       0.03464 
16TR007Q1      200          F1             292.7556      1.057         1.033         1.092         1.093        -0.26         -0.28          29.4          54.2          126.4         5             220           35.3          0.99404       0.98769       1.01826      -0.00214       0.02274       0.03481 
