age,pole,average,rock unit,lat,lon,a95,reference
33,Cz,yes,Cenozoic,87.5,315.6,5.9,Huang et al. (2008)
83,K2,yes,Late Cretaceous,75.5,205.3,4.5,Huang et al. (2008)
122.5,K1,yes,Early Cretaceous,79,208.3,5.9,Huang et al. (2008)
154.5,J3,yes,Late Jurassic,71,215.1,6.7,Huang et al. (2008)
169,J2,yes,Middle Jurassic,65,186.2,15,Enkin et al. (1992)
187.5,J1,yes,Early Jurassic,65.5,190.9,5.3,Zhao et al. (1996)
219,T3,yes,Late Triassic,51.4,187.2,8.5,Wu et al. (1998)
242,T2,yes,Middle Triassic,34.7,209.4,9.1,Huang et al. (2008)
249.5,T1,yes,Early Triassic,45,216.8,3.9,Huang et al. (2008)
256,P2,yes,Late Permian,53.4,247.7,4,Huang et al. (2008)
285.5,P1,no,Early Permian,65.3,265.2,5.8,Wu et al. (1998)
341,C1,no,Early Carboniferous,47.5,229.1,6.8,Zhang et al. (2001)
371,D3,no,Late Devonian,45.4,234.1,4.7,Zhang et al. (2001)
401,D12,no,Early and Middle Devonian,36.1,231.4,9,Zhang et al. (2001)
426,S23,yes,Middle and Late Silurian,10.3,195.8,3.3,Opdyke et al. (1987); Huang et al. (2000)
457,O23,no,Middle and Late Ordovician,-29.5,227.1,6.3,Zhang et al. (2012a)
477.5,O1,no,Early Ordovician,-38.4,154.9,10.3,Wu et al. (1998)
513,Cam2,yes,Middle Cambrian,-47.6,174.5,5.2,Bai et al. (1998); Yang et al. (2004)
531,A3,yes,Early Cambrian; Tianheban & Hetang Fms,5.3,192.7,15,Lin et al. (1985)
580,DS3,no,Member 3 of Doushantuo Fm,23.9,187,2.3,Zhang et al. (2015)
636,NT,no,Nantuo Fm,7.5,161.6,5.9,Zhang et al. (2013)
748,LT,no,Liantuo Fm; CIT subset,3.4,163.6,2.4,Evans et al. (2000)
821,XF,no,Xiaofeng dykes,13.5,91,10.9,Li et al. (2004)
