,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,TR035,,,,,,,,,,,,,,,,,,,,,
site_name,Luoman2,,,,,,,,,,,,,,,,,,,,,
site_lat,27.95384179,(N),,,,,,,,,,,,,,,,,,,,
site_long,108.8208144,(E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
-Aa,sun compass orientation,0.27,202,76.0,267.8,25.2,no,112.0,8.0,2016.0,6.0,4.0,14.0,55.0,1.0,nan,199.2,[357.30585088403092; 43.374641930547213; 48813.133127793692],-2.69414911597,-2.8,199.2,nan
-Ba,sun compass orientation,0.35,202,88.0,267.8,25.2,no,112.0,8.0,2016.0,6.0,4.0,14.0,57.0,1.0,nan,199.5,[357.30585072945519; 43.374642398491282; 48813.133326543139],-2.69414927054,-2.5,199.5,nan
-Ca,sun compass orientation,0.46,204,85.0,267.8,25.2,no,113.0,8.0,2016.0,6.0,4.0,14.0,59.0,1.0,nan,200.7,[357.30585057487946; 43.374642866435359; 48813.133525292535],-2.69414942512,-3.3,200.7,nan
-Da,mag compass orientation (IGRF corrected),0.67,190,88.0,267.8,25.2,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,187.3,nan
-Fa,mag compass orientation (IGRF corrected),1.05,199,95.0,267.8,25.2,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,196.3,nan
-Ga,sun compass orientation,0.93,206,95.0,267.8,25.2,no,114.0,8.0,2016.0,6.0,4.0,15.0,7.0,1.0,nan,202.8,[357.30584995657654; 43.374644738211614; 48813.134320290359],-2.69415004342,-3.2,202.8,nan
-Ha,mag compass orientation (IGRF corrected),2.1,236,74.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,233.3,nan
-Ia,sun compass orientation,2.4,301,26.0,279.3,19.5,no,209.0,8.0,2016.0,6.0,4.0,15.0,25.0,1.0,nan,298.1,[357.30584856539491; 43.374648949707982; 48813.136109035549],-2.69415143461,-2.9,298.1,nan
-Ja,mag compass orientation (IGRF corrected),2.31,211,73.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,208.3,nan
-Ka,sun compass orientation,2.63,196,72.0,279.3,19.5,no,100.0,8.0,2016.0,6.0,4.0,15.0,41.0,1.0,nan,187.4,[357.30584732878896; 43.374652693260046; 48813.137699031569],-2.69415267121,-8.6,187.4,nan
-La,sun compass orientation,2.76,187,73.0,279.3,19.5,no,91.0,8.0,2016.0,6.0,4.0,15.0,44.0,1.0,nan,178.1,[357.30584709692533; 43.374653395176033; 48813.137997155842],-2.69415290307,-8.9,178.1,nan
-Na,sun compass orientation,2.97,195,86.0,279.3,19.5,no,98.0,8.0,2016.0,6.0,4.0,15.0,55.0,1.0,nan,183.9,[357.30584624675868; 43.374655968867856; 48813.139090278259],-2.69415375324,-11.1,183.9,nan
-Pa,sun compass orientation,3.26,181,70.0,279.3,19.5,no,83.0,8.0,2016.0,6.0,4.0,16.0,1.0,1.0,nan,168.3,[357.30584578303143; 43.374657372699744; 48813.139686526825],-2.69415421697,-12.7,168.3,nan
-Qa,sun compass orientation,4.53,275,76.0,279.3,19.5,no,177.0,8.0,2016.0,6.0,4.0,6.0,10.0,1.0,nan,70.2,[357.30589146011971; 43.374519095087223; 48813.080956186255],-2.69410853988,-204.8,70.2,nan
-Ra,mag compass orientation (IGRF corrected),4.69,267,73.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,264.3,nan
-Sa,mag compass orientation (IGRF corrected),4.93,265,80.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,262.3,nan
-Ta,sun compass orientation,5.16,257,87.0,279.3,19.5,no,159.0,8.0,2016.0,6.0,4.0,16.0,14.0,1.0,nan,243.1,[357.30584477828893; 43.374660414335317; 48813.140978398995],-2.69415522171,-13.9,243.1,nan
-Ua,sun compass orientation,5.29,265,89.0,279.3,19.5,no,166.0,8.0,2016.0,6.0,4.0,16.0,23.0,1.0,nan,249.2,[357.30584408269794; 43.374662520082914; 48813.14187277203],-2.6941559173,-15.8,249.2,nan
-Va,mag compass orientation (IGRF corrected),5.38,260,87.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,257.3,nan
-Wa,sun compass orientation,5.76,188,76.0,279.3,19.5,no,85.0,8.0,2016.0,6.0,4.0,16.0,55.0,1.0,nan,165.2,[357.30584160948547; 43.374670007184903; 48813.145052765845],-2.69415839051,-22.8,165.2,nan
-Xa,sun compass orientation,6.06,187,88.0,279.3,19.5,no,84.0,8.0,2016.0,6.0,4.0,16.0,58.0,1.0,nan,163.9,[357.30584137762173; 43.374670709100634; 48813.145350890314],-2.69415862238,-23.1,163.9,nan
-Ya,sun compass orientation,6.23,198,85.0,279.3,19.5,no,95.0,8.0,2016.0,6.0,4.0,17.0,0.0,1.0,nan,174.7,[357.30584122304595; 43.374671177044483; 48813.145549639958],-2.69415877695,-23.3,174.7,nan
-Za,sun compass orientation,5.96,197,85.0,279.3,19.5,no,93.0,8.0,2016.0,6.0,4.0,17.0,3.0,1.0,nan,172.5,[357.30584099118227; 43.374671878960243; 48813.145847764434],-2.69415900882,-24.5,172.5,nan
-AAa,sun compass orientation,6.5,205,88.0,279.3,19.5,no,101.0,8.0,2016.0,6.0,4.0,17.0,5.0,1.0,nan,180.3,[357.30584083660648; 43.374672346904035; 48813.146046514121],-2.69415916339,-24.7,180.3,nan
-BBa,mag compass orientation (IGRF corrected),6.58,204,90.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,201.3,nan
-CCa,mag compass orientation (IGRF corrected),6.77,191,97.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,188.3,nan
-DDa,mag compass orientation (IGRF corrected),7.1,204,93.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,201.3,nan
-FFa,mag compass orientation (IGRF corrected),7.47,211,70.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,208.3,nan
-GGa,mag compass orientation (IGRF corrected),7.69,201,81.0,279.3,19.5,no,nan,8.0,2016.0,6.0,4.0,1.0,1.0,1.0,nan,nan,[357.30591534201; 43.374446797515589; 48813.050249579661],-2.69408465799,insufficient data,198.3,nan
-HHa,mag compass orientation (IGRF corrected),7.64,200,86.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,197.3,nan
-IIa,mag compass orientation (IGRF corrected),7.73,181,77.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,178.3,nan
-JJa,mag compass orientation (IGRF corrected),7.88,180,76.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,177.3,nan
-KKa,mag compass orientation (IGRF corrected),8.04,186,84.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,183.3,nan
-LLa,mag compass orientation (IGRF corrected),8.06,175,85.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,172.3,nan
-NNa,mag compass orientation (IGRF corrected),8.24,175,79.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,172.3,nan
-PPa,mag compass orientation (IGRF corrected),8.31,175,80.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,172.3,nan
-RRa,mag compass orientation (IGRF corrected),8.53,173,86.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,170.3,nan
-SSa,mag compass orientation (IGRF corrected),8.99,224,50.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,221.3,nan
-TTa,mag compass orientation (IGRF corrected),9.19,205,81.0,279.3,19.5,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30558145683193; 43.375457550977572; 48813.479553285921],-2.69441854317,insufficient data,202.3,nan
