Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,
Quick River,31/05/16-01/06/16,27.88307141,108.7972413,27.87159457,108.8429275,WGS84,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOUR,FEATURES,HASH,,ASH,ASH_HEIGHT,,DZ,DZ_HEIGHT,,PM_SITE,PM_SAMPLE,PM_HEIGHT
60,si,sts-vfss,green,,,,QuickRIver-#8+74.0,1654.9,,QuickRiver-#8+30.2,1611.1,,16TR018,A,1606.42
7.5,si,sts-vfss,purple-green,,,,,,,,,,16TR018,B,1606.54
10.2,si,sts-vfss,green,,,,,,,,,,16TR018,C,1607.94
22.5,si,sts-vfss,brick red,,,,,,,,,,16TR018,D,1608.94
9,cover,cover,cover,,,,,,,,,,16TR018,E,1609.84
48.9,si,sts-vfss,brick red,,,,,,,,,,16TR018,F,1611.89
296.8,cover,cover,cover,,1,,,,,,,,16TR018,G,1611.9
6.9,si,sts-vfss,green,tectonized,,,,,,,,,16TR018,H,1612.02
4.9,si,sts-vfss,purple-green,tectonized,,,,,,,,,16TR018,I,1613
50.5,cover,cover,cover,,2,,,,,,,,16TR018,J,1613.95
10.5,si,sts-vfss,brick red-green,,,,,,,,,,16TR018,K,1615.16
83,cover,cover,cover,,3,,,,,,,,16TR018,L,1615.29
4.5,si,sts-vfss,green,,,,,,,,,,16TR018,M,1619.37
130.7,cover,cover,cover,,4,,,,,,,,16TR018,N,1620.55
16.5,si,sts-vfss,green,,,,,,,,,,16TR018,P,1622.6
15,cover,cover,cover,,,,,,,,,,16TR018,Q,1623.25
31.1,si,sts-vfss,green,,,,,,,,,,16TR019,A,1628.31
4.5,si,sts-vfss,purple-green,,,,,,,,,,16TR019,B,1628.82
37.5,cover,cover,cover,,,,,,,,,,16TR019,C,1629.3
4.3,si,sts-vfss,green,,,,,,,,,,16TR019,D,1630.22
11.4,si,sts-vfss,purple-green,,,,,,,,,,16TR019,E,1631.18
11.4,si,sts-vfss,green,,,,,,,,,,16TR019,F,1633.03
10.5,si,sts-vfss,purple-green,,,,,,,,,,16TR019,G,1633.66
9,si,sts-vfss,green,,,,,,,,,,16TR019,H,1633.81
91,cover,cover,cover,,5,,,,,,,,16TR019,I,1633.9
5.3,si,sts-vfss,purple-green,,,,,,,,,,16TR019,J,1633.94
12,si,sts-vfss,green,,,,,,,,,,16TR020,A,1652.4
13.5,si,sts-vfss,brick red-green,,,,,,,,,,16TR020,B,1655.14
125.8,cover,cover,cover,,6,,,,,,,,16TR020,C,1655.79
46,si,sts-vfss,brick red-green,,,,,,,,,,16TR020,D,1655.91
102.4,cover,cover,cover,,7,,,,,,,,16TR020,E,1656.31
19.5,si,sts-vfss,brick red-green,,,,,,,,,,16TR020,F,1656.65
268.3,cover,cover,cover,,8,,,,,,,,16TR020,G,1656.68
11.5,si,sts-vfss,brick red-green,,,,,,,,,,16TR020,H,1656.71
13.5,cover,cover,cover,,,,,,,,,,16TR020,I,1657.18
41.3,si,sts-vfss,brick red-green,,,,,,,,,,16TR020,J,1657.19
7.7,si,sts,brick red,,,,,,,,,,16TR021,A,1739.9
0.1,tuff,tuff,tuff,,,,,,,,,,16TR021,B,1740.13
2.6,si,sts,brick red,,,,,,,,,,16TR021,C,1740.33
4.5,si,sts-vfss,brick red-green,,,,,,,,,,16TR021,D,1740.5
64.1,cover,cover,cover,,9,,,,,,,,16TR021,E,1740.54
7.5,si,sts,brick red,,,,,,,,,,16TR021,F,1740.84
3.3,si,sts,brick red,tectonized,,,,,,,,,16TR021,G,1741.12
67.6,si,sts-vfss,brick red-green,,,,,,,,,,16TR021,H,1741.56
65.7,cover,cover,cover,,10,,,,,,,,16TR021,I,1741.72
6,si,sts-vfss,brick red-green,,,,,,,,,,16TR021,J,1741.79
4.3,cover,cover,cover,,,,,,,,,,16TR021,K,1741.96
1,si,sts-vfss,brick red-green,,,,,,,,,,16TR021,L,1742.17
1.2,si,sts-vfss,green,,,,,,,,,,16TR022,A,1745.47
3,cover,cover,cover,,,,,,,,,,16TR022,B,1745.57
3,si,sts,brick red,,,,,,,,,,16TR022,C,1745.71
30,cover,cover,cover,,,,,,,,,,16TR022,D,1745.84
1.5,si,sts,brick red,,,,,,,,,,16TR022,E,1745.96
9,si,sts,green,,,,,,,,,,16TR022,F,1746.03
15,si,sts,brick red,,,,,,,,,,16TR022,G,1746.13
37.1,cover,cover,cover,,11,,,,,,,,16TR022,H,1746.19
6,si,sts,brick red,,,,,,,,,,16TR022,I,1746.32
1.9,si,sts,green,,,,,,,,,,16TR022,J,1746.33
2,si,sts-vfss,brick red-green,,,,,,,,,,16TR023,A,1750.78
1.5,cover,cover,cover,,,,,,,,,,16TR023,B,1751.11
7.5,si,sts-vfss,brick red-green,,,,,,,,,,16TR023,C,1751.26
1.5,cover,cover,cover,,,,,,,,,,16TR023,D,1751.5
7.5,si,sts,green,,,,,,,,,,16TR023,E,1751.77
3,cover,cover,cover,,,,,,,,,,16TR023,F,1751.91
9,si,sts-vfss,brick red-green,,,,,,,,,,16TR023,G,1751.96
6,cover,cover,cover,,,,,,,,,,16TR023,H,1752.06
6.5,si,vfss,grey,,,,,,,,,,16TR024,A,1147.6
