key,strike,dip
16TR001_16TR002,316,52
16TR001_16TR002,315,52
16TR001_16TR002,317,53
16TR001_16TR002,314,52
16TR001_16TR002,319,53
16TR001_16TR002,320,52
16TR001_16TR002,315,53
16TR001_16TR002,319,51
16TR003,324,53
16TR003,322,51
16TR003,321,50
16TR003,324,49
16TR003,324,55
16TR003,322,55
16TR004,169,29
16TR004,173,29
16TR004,174,31
16TR004,166,35
16TR004,163,31
16TR004,178,30
16TR004,176,30
16TR004,174,30
16TR004,174,29
16TR004,193,30
16TR005,31,31
16TR005,26,38
16TR005,20,32
16TR005,13,52
16TR005,11,50
16TR005,26,56
16TR005,27,55
16TR006_16TR007_16TR008_16TR009,299,42
16TR006_16TR007_16TR008_16TR009,297,44
16TR006_16TR007_16TR008_16TR009,301,48
16TR006_16TR007_16TR008_16TR009,302,46
16TR006_16TR007_16TR008_16TR009,310,46
16TR006_16TR007_16TR008_16TR009,301,46
16TR006_16TR007_16TR008_16TR009,304,47
16TR006_16TR007_16TR008_16TR009,295,44
16TR006_16TR007_16TR008_16TR009,310,44
16TR006_16TR007_16TR008_16TR009,302,45
16TR006_16TR007_16TR008_16TR009,296,44
16TR006_16TR007_16TR008_16TR009,304,43
16TR006_16TR007_16TR008_16TR009,301,43
16TR006_16TR007_16TR008_16TR009,295,44
16TR006_16TR007_16TR008_16TR009,303,44
16TR006_16TR007_16TR008_16TR009,304,43
16TR006_16TR007_16TR008_16TR009,308,45
16TR006_16TR007_16TR008_16TR009,316,47
16TR006_16TR007_16TR008_16TR009,301,42
16TR006_16TR007_16TR008_16TR009,301,41
16TR010_16TR011,296,43
16TR010_16TR011,289,43
16TR010_16TR011,292,45
16TR010_16TR011,291,41
16TR010_16TR011,291,42
16TR010_16TR011,293,43
16TR010_16TR011,277,44
16TR010_16TR011,299,43
16TR010_16TR011,282,41
16TR010_16TR011,290,42
16TR012,313,40
16TR012,315,42
16TR012,314,37
16TR012,313,38
16TR013,291,24
16TR013,283,23
16TR013,296,25
16TR013,294,24
16TR013,293,23
16TR014_16TR015,260,28
16TR014_16TR015,252,32
16TR014_16TR015,254,26
16TR014_16TR015,255,28
16TR014_16TR015,249,33
16TR016,40,44
16TR016,42,43
16TR016,42,42
16TR016,40,45
16TR017,36,37
16TR017,32,42
16TR017,40,37
16TR017,35,35
16TR018_16TR019,25,41
16TR018_16TR019,36,38
16TR018_16TR019,38,39
16TR018_16TR019,44,41
16TR018_16TR019,52,31
16TR020,100,9
16TR020,82,12
16TR020,111,11
16TR020,82,11
16TR021_16TR022,29,30
16TR021_16TR022,27,35
16TR021_16TR022,26,40
16TR021_16TR022,32,31
16TR021_16TR022,33,34
16TR021_16TR022,40,35
16TR021_16TR022,27,28
16TR021_16TR022,24,29
16TR021_16TR022,23,29
16TR021_16TR022,30,27
16TR021_16TR022,31,30
16TR023,34,26
16TR023,26,25
16TR023,27,24
16TR023,28,26
16TR023,27,25
16TR023,25,29
16TR024_16TR025_16TR026,23,31
16TR024_16TR025_16TR026,19,32
16TR024_16TR025_16TR026,25,30
16TR024_16TR025_16TR026,22,29
16TR024_16TR025_16TR026,19,32
16TR024_16TR025_16TR026,24,32
16TR024_16TR025_16TR026,26,33
16TR024_16TR025_16TR026,24,34
16TR024_16TR025_16TR026,27,29
16TR024_16TR025_16TR026,30,29
16TR024_16TR025_16TR026,26,29
16TR024_16TR025_16TR026,23,29
16TR027,27,39
16TR027,29,39
16TR027,37,41
16TR027,38,45
16TR027,40,38
16TR027,40,36
16TR027,39,38
16TR027,43,40
16TR028,28,22
16TR028,30,20
16TR028,31,21
16TR028,28,22
16TR029,29,43
16TR029,35,39
16TR029,34,44
16TR029,32,41
16TR030_16TR031_16TR032_16TR033,12,13
16TR030_16TR031_16TR032_16TR033,9,14
16TR030_16TR031_16TR032_16TR033,14,14
16TR030_16TR031_16TR032_16TR033,16,14
16TR030_16TR031_16TR032_16TR033,15,15
16TR030_16TR031_16TR032_16TR033,7,11
16TR030_16TR031_16TR032_16TR033,9,14
16TR030_16TR031_16TR032_16TR033,7,16
16TR030_16TR031_16TR032_16TR033,18,12
16TR030_16TR031_16TR032_16TR033,5,14
16TR030_16TR031_16TR032_16TR033,12,15
16TR030_16TR031_16TR032_16TR033,9,15
16TR030_16TR031_16TR032_16TR033,7,13
16TR030_16TR031_16TR032_16TR033,12,15
16TR030_16TR031_16TR032_16TR033,10,13
16TR030_16TR031_16TR032_16TR033,13,15
16TR030_16TR031_16TR032_16TR033,21,15
16TR030_16TR031_16TR032_16TR033,7,14
16TR030_16TR031_16TR032_16TR033,4,17
16TR030_16TR031_16TR032_16TR033,11,14
16TR030_16TR031_16TR032_16TR033,14,14
16TR034,94,14
16TR034,90,14
16TR034,92,14
16TR034,97,12
16TR035A-G,265,26
16TR035A-G,276,24
16TR035A-G,263,26
16TR035H-TT,279,22
16TR035H-TT,270,23
16TR035H-TT,276,21
16TR035H-TT,271,19
16TR035H-TT,291,21
16TR035H-TT,283,21
16TR035H-TT,296,21
16TR035H-TT,265,20
16TR035H-TT,285,19
16TR035H-TT,290,19
16TR035H-TT,271,18
16TR035H-TT,273,18
16TR035H-TT,281,14
16TR036,209,84
16TR036,213,89
16TR036,210,88
16TR037_16TR038A-C,9,21
16TR037_16TR038A-C,11,17
16TR037_16TR038A-C,16,13
16TR037_16TR038A-C,18,12
16TR038D-Z_16TR039,343,13
16TR038D-Z_16TR039,354,13
16TR038D-Z_16TR039,3,14
16TR038D-Z_16TR039,1,20
16TR038D-Z_16TR039,357,17
16TR038D-Z_16TR039,349,18
16TR038D-Z_16TR039,342,16
16TR038D-Z_16TR039,356,15
16TR038D-Z_16TR039,346,16
16TR038D-Z_16TR039,348,20
16TR038D-Z_16TR039,348,19
16TR038D-Z_16TR039,353,16
16TR040,5,25
16TR040,5,22
16TR040,4,21
16TR040,1,20
16TR040,8,22
16TR040,355,23
16TR041,346,7
16TR041,341,5
16TR041,338,6
16TR041,331,5
16TR041,324,3
16TR042,329,13
16TR042,316,8
16TR042,331,6
16TR042,348,7
16TR043,7,8
16TR043,24,5
16TR043,55,4
16TR043,38,1
16TR043,18,5
16TR044,19,11
16TR044,21,11
16TR044,21,8
16TR044,2,10
16TR044,29,11
16TR044,28,7
16TR045,239,37
16TR045,256,33
16TR045,234,37
16TR045,257,27
16TR045,229,38
16TR045,228,45
16TR045,245,34
16TR045,257,26
16TR047_16TR048_16TR049_16TR050_16TR051_16TR052_16TR059,121,26
16TR047_16TR048_16TR049_16TR050_16TR051_16TR052_16TR059,120,21
16TR047_16TR048_16TR049_16TR050_16TR051_16TR052_16TR059,123,24
16TR053_16TR054_16TR058,161,32
16TR053_16TR054_16TR058,161,33
16TR053_16TR054_16TR058,161,34
16TR053_16TR054_16TR058,150,38
16TR053_16TR054_16TR058,158,34
16TR055_16TR056_16TR057,142,25
16TR055_16TR056_16TR057,154,25
16TR055_16TR056_16TR057,152,21
16TR055_16TR056_16TR057,142,20
16TR055_16TR056_16TR057,145,25
16TR060_16TR061_16TR062,121,21
16TR060_16TR061_16TR062,118,23
16TR060_16TR061_16TR062,129,22
16TR060_16TR061_16TR062,138,19
16TR060_16TR061_16TR062,130,21
16TR063_16TR064_16TR065,107,28
16TR063_16TR064_16TR065,113,25
16TR063_16TR064_16TR065,106,27
16TR066_16TR067_16TR068_16TR069,162,13
16TR066_16TR067_16TR068_16TR069,145,8
16TR066_16TR067_16TR068_16TR069,140,19
