Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,
Luoman7,8/6/16,27.95280805,108.8323922,27.95272762,108.832666,WGS84,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOUR,FEATURES,HASH,,ASH,ASH_HEIGHT,,DZ,DZ_HEIGHT,,PM_SITE,PM_SAMPLE,PM_HEIGHT
4.2,si,sts-vfss,brick red-green,,,,Luoman7-4.2,4.2,,,,,,,
0.03,tuff,tuff,tuff,,,,Luoman7-7.13,7.13,,,,,,,
2.9,si,sts-vfss,brick red-green,,,,,,,,,,,,
0.03,tuff,tuff,tuff,,,,,,,,,,,,
7,si,sts-vfss,brick red-green,,,,,,,,,,,,
