tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
TR045-Aa	TR045-A		This study	LP-NOMAG		
TR045-Ba	TR045-B		This study	LP-NOMAG		
TR045-Ca	TR045-C		This study	LP-NOMAG		
TR045-Da	TR045-D		This study	LP-NOMAG		
TR045-Ea	TR045-E		This study	LP-NOMAG		
TR045-Fa	TR045-F		This study	LP-NOMAG		
TR045-Ga	TR045-G		This study	LP-NOMAG		
TR045-Ha	TR045-H		This study	LP-NOMAG		
TR045-Ia	TR045-I		This study	LP-NOMAG		
TR045-Ja	TR045-J		This study	LP-NOMAG		
TR045-Ka	TR045-K		This study	LP-NOMAG		
TR045-La	TR045-L		This study	LP-NOMAG		
TR045-Na	TR045-N		This study	LP-NOMAG		
TR045-Pa	TR045-P		This study	LP-NOMAG		
TR045-Qa	TR045-Q		This study	LP-NOMAG		
