tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
TR022	Quick_River	TR022-A:TR022-B:TR022-C:TR022-D:TR022-E:TR022-F:TR022-G:TR022-H	TR022-Aa:TR022-Ba:TR022-Ca:TR022-Da:TR022-Ea:TR022-Fa:TR022-Ga:TR022-Ha	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   44.8 	HT1	  220.3 	  -65.8 	     2 	8	8 	0 	r	5.1858 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   73.1 	   59.6 	  -53.0 	  334.7 	8 
TR022	Quick_River	TR022-A:TR022-B:TR022-C:TR022-D:TR022-E:TR022-F:TR022-G:TR022-H:TR022-I:TR022-J	TR022-Aa:TR022-Ba:TR022-Ca:TR022-Da:TR022-Ea:TR022-Fa:TR022-Ga:TR022-Ha:TR022-Ia:TR022-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    4.6 	LT1	   45.7 	   51.5 	   112 	10	10 	0 	n	9.9200 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    6.3 	    4.3 	   50.5 	  181.1 	10 
TR024	Quick_River	TR024-A:TR024-B:TR024-C:TR024-D:TR024-E:TR024-G:TR024-H:TR024-I:TR024-J	TR024-Aa:TR024-Ba:TR024-Ca:TR024-Da:TR024-Ea:TR024-Ga:TR024-Ha:TR024-Ia:TR024-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   18.2 	HT1	  119.7 	  -33.1 	     9 	9	9 	0 	t	8.1056 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	   20.7 	   11.7 	  -34.1 	  202.5 	9 
TR024	Quick_River	TR024-A:TR024-B:TR024-C:TR024-D:TR024-E:TR024-G:TR024-H:TR024-I:TR024-J	TR024-Aa:TR024-Ba:TR024-Ca:TR024-Da:TR024-Ea:TR024-Ga:TR024-Ha:TR024-Ia:TR024-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    7.0 	LT1	  357.5 	   45.5 	    55 	9	9 	0 	n	8.8542 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    8.9 	    5.7 	   87.6 	  356.6 	9 
TR024	Quick_River	TR024-A:TR024-B:TR024-C:TR024-D:TR024-E:TR024-G:TR024-H:TR024-I:TR024-J	TR024-Aa:TR024-Ba:TR024-Ca:TR024-Da:TR024-Ea:TR024-Ga:TR024-Ha:TR024-Ia:TR024-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   18.2 	HT1	  124.9 	  -63.5 	     9 	9	9 	0 	r	8.1052 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   28.8 	   22.8 	  -43.5 	  235.8 	9 
TR024	Quick_River	TR024-A:TR024-B:TR024-C:TR024-D:TR024-E:TR024-G:TR024-H:TR024-I:TR024-J	TR024-Aa:TR024-Ba:TR024-Ca:TR024-Da:TR024-Ea:TR024-Ga:TR024-Ha:TR024-Ia:TR024-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    7.0 	LT1	   32.6 	   50.6 	    55 	9	9 	0 	n	8.8547 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    9.4 	    6.3 	   61.6 	  183.9 	9 
TR026	Quick_River	TR026-A:TR026-B:TR026-C:TR026-D:TR026-E:TR026-G:TR026-H:TR026-I:TR026-J	TR026-Aa:TR026-Ba:TR026-Ca:TR026-Da:TR026-Ea:TR026-Ga:TR026-Ha:TR026-Ia:TR026-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   15.9 	HT1	  117.9 	  -56.1 	    11 	9	9 	0 	r	8.2994 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	   22.9 	   16.4 	  -37.7 	  225.2 	9 
TR026	Quick_River	TR026-A:TR026-B:TR026-C:TR026-D:TR026-E:TR026-G:TR026-H:TR026-I:TR026-J	TR026-Aa:TR026-Ba:TR026-Ca:TR026-Da:TR026-Ea:TR026-Ga:TR026-Ha:TR026-Ia:TR026-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   13.3 	LT1	  353.7 	   38.5 	    16 	9	9 	0 	n	8.5000 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   15.8 	    9.4 	   81.6 	  332.8 	9 
TR026	Quick_River	TR026-A:TR026-B:TR026-C:TR026-D:TR026-E:TR026-G:TR026-H:TR026-I:TR026-J	TR026-Aa:TR026-Ba:TR026-Ca:TR026-Da:TR026-Ea:TR026-Ga:TR026-Ha:TR026-Ia:TR026-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   15.9 	HT1	  149.0 	  -86.1 	    11 	9	9 	0 	t	8.2978 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   31.6 	   31.4 	  -34.5 	  284.0 	9 
TR026	Quick_River	TR026-A:TR026-B:TR026-C:TR026-D:TR026-E:TR026-G:TR026-H:TR026-I:TR026-J	TR026-Aa:TR026-Ba:TR026-Ca:TR026-Da:TR026-Ea:TR026-Ga:TR026-Ha:TR026-Ia:TR026-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   13.3 	LT1	   22.1 	   47.4 	    16 	9	9 	0 	n	8.5003 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   17.3 	   11.2 	   70.5 	  191.7 	9 
TR035	Luoman2	TR035-AA:TR035-DD:TR035-D:TR035-FF:TR035-GG:TR035-G:TR035-HH:TR035-II:TR035-JJ:TR035-KK:TR035-K:TR035-LL:TR035-NN:TR035-N:TR035-PP:TR035-TT:TR035-T:TR035-U:TR035-Y:TR035-Z	TR035-AAa:TR035-DDa:TR035-Da:TR035-FFa:TR035-GGa:TR035-Ga:TR035-HHa:TR035-IIa:TR035-JJa:TR035-KKa:TR035-Ka:TR035-LLa:TR035-NNa:TR035-Na:TR035-PPa:TR035-TTa:TR035-Ta:TR035-Ua:TR035-Ya:TR035-Za	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   18.7 	HT1	  120.5 	   73.9 	     4 	20	20 	0 	t	15.2767 	0	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	   33.7 	   30.4 	   10.5 	  134.8 	20 
