tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
TR018-A	TR018	1606.4					110.3	0.0	37.7	128.5	-55.0	This study	SO-CMD-NORTH
TR018-B	TR018	1606.5					109.3	0.0	37.7	128.5	-64.0	This study	SO-CMD-NORTH
TR018-C	TR018	1607.9					84.3	0.0	37.7	128.5	-77.0	This study	SO-CMD-NORTH
TR018-D	TR018	1608.9					114.3	0.0	37.7	128.5	-63.0	This study	SO-CMD-NORTH
TR018-E	TR018	1609.8					111.3	0.0	37.7	128.5	-61.0	This study	SO-CMD-NORTH
TR018-F	TR018	1611.9					89.3	0.0	37.7	128.5	-70.0	This study	SO-CMD-NORTH
TR018-G	TR018	1611.9					90.3	0.0	37.7	128.5	-71.0	This study	SO-CMD-NORTH
TR018-H	TR018	1612.0					96.3	0.0	37.7	128.5	-72.0	This study	SO-CMD-NORTH
TR018-I	TR018	1613.0					79.3	0.0	37.7	128.5	-78.0	This study	SO-CMD-NORTH
TR018-J	TR018	1614.0					71.3	0.0	37.7	128.5	-68.0	This study	SO-CMD-NORTH
TR018-K	TR018	1615.2					62.3	0.0	37.7	128.5	-63.0	This study	SO-CMD-NORTH
TR018-L	TR018	1615.3					5.3	0.0	37.7	128.5	-94.0	This study	SO-CMD-NORTH
TR018-M	TR018	1619.4					63.3	0.0	37.7	128.5	-74.0	This study	SO-CMD-NORTH
TR018-N	TR018	1620.6					61.3	0.0	37.7	128.5	-72.0	This study	SO-CMD-NORTH
TR018-P	TR018	1622.6					53.3	0.0	37.7	128.5	-70.0	This study	SO-CMD-NORTH
TR018-Q	TR018	1623.3					62.3	0.0	37.7	128.5	-50.0	This study	SO-CMD-NORTH
TR036-A	TR036	6.69					226.3	0.0	87.0	300.7	-90.0	This study	SO-CMD-NORTH
TR036-B	TR036	7.35					213.3	0.0	87.0	300.7	-41.0	This study	SO-CMD-NORTH
TR036-C	TR036	7.43					207.3	0.0	87.0	300.7	-44.0	This study	SO-CMD-NORTH
TR036-D	TR036	7.54					215.3	0.0	87.0	300.7	-54.0	This study	SO-CMD-NORTH
TR036-E	TR036	7.54					205.3	0.0	87.0	300.7	-52.0	This study	SO-CMD-NORTH
TR036-G	TR036	7.9					192.3	0.0	87.0	300.7	-28.0	This study	SO-CMD-NORTH
TR036-H	TR036	8.12					202.3	0.0	87.0	300.7	-68.0	This study	SO-CMD-NORTH
TR036-I	TR036	8.26					196.3	0.0	87.0	300.7	-57.0	This study	SO-CMD-NORTH
TR036-J	TR036	8.26					205.3	0.0	87.0	300.7	-64.0	This study	SO-CMD-NORTH
TR036-K	TR036	8.33					201.3	0.0	87.0	300.7	-66.0	This study	SO-CMD-NORTH
TR036-M	TR036	8.5					178.3	0.0	87.0	300.7	-65.0	This study	SO-CMD-NORTH
TR026-A	TR026	1155.9					8.3	0.0	30.7	113.9	-76.0	This study	SO-CMD-NORTH
TR026-B	TR026	1156.0					4.3	0.0	30.7	113.9	-71.0	This study	SO-CMD-NORTH
TR026-C	TR026	1156.1					3.3	0.0	30.7	113.9	-64.0	This study	SO-CMD-NORTH
TR026-D	TR026	1156.2					13.3	0.0	30.7	113.9	-74.0	This study	SO-CMD-NORTH
TR026-E	TR026	1156.5					22.3	0.0	30.7	113.9	-66.0	This study	SO-CMD-NORTH
TR026-G	TR026	1156.8					21.3	0.0	30.7	113.9	-66.0	This study	SO-CMD-NORTH
TR026-H	TR026	1156.9					15.3	0.0	30.7	113.9	-67.0	This study	SO-CMD-NORTH
TR026-I	TR026	1157.0					14.3	0.0	30.7	113.9	-67.0	This study	SO-CMD-NORTH
TR026-J	TR026	1157.1					18.3	0.0	30.7	113.9	-73.0	This study	SO-CMD-NORTH
TR020-A	TR020	1652.4					88.3	0.0	10.5	183.2	-64.0	This study	SO-CMD-NORTH
TR020-B	TR020	1655.1					71.3	0.0	10.5	183.2	-62.0	This study	SO-CMD-NORTH
TR020-C	TR020	1655.8					79.3	0.0	10.5	183.2	-50.0	This study	SO-CMD-NORTH
TR020-D	TR020	1655.9					83.3	0.0	10.5	183.2	-64.0	This study	SO-CMD-NORTH
TR020-E	TR020	1656.3					75.3	0.0	10.5	183.2	-30.0	This study	SO-CMD-NORTH
TR020-F	TR020	1656.7					74.3	0.0	10.5	183.2	-62.0	This study	SO-CMD-NORTH
TR020-G	TR020	1656.7					103.3	0.0	10.5	183.2	-71.0	This study	SO-CMD-NORTH
TR020-H	TR020	1656.7					98.3	0.0	10.5	183.2	-59.0	This study	SO-CMD-NORTH
TR020-I	TR020	1657.2					22.3	0.0	10.5	183.2	-69.0	This study	SO-CMD-NORTH
TR020-J	TR020	1657.2					43.3	0.0	10.5	183.2	-69.0	This study	SO-CMD-NORTH
TR045-A	TR045	11.23					-78.7	0.0	34.1	331.6	-42.0	This study	SO-CMD-NORTH
TR045-B	TR045	11.25					255.3	0.0	34.1	331.6	-31.0	This study	SO-CMD-NORTH
TR045-C	TR045	11.3					-85.7	0.0	34.1	331.6	-56.0	This study	SO-CMD-NORTH
TR045-D	TR045	11.31					-87.7	0.0	34.1	331.6	-51.0	This study	SO-CMD-NORTH
TR045-E	TR045	11.43					-92.7	0.0	34.1	331.6	-38.0	This study	SO-CMD-NORTH
TR045-F	TR045	11.46					263.3	0.0	34.1	331.6	-44.0	This study	SO-CMD-NORTH
TR045-G	TR045	11.71					-87.7	0.0	34.1	331.6	-41.0	This study	SO-CMD-NORTH
TR045-H	TR045	11.81					265.3	0.0	34.1	331.6	-79.0	This study	SO-CMD-NORTH
TR045-I	TR045	11.87					-86.7	0.0	34.1	331.6	-32.0	This study	SO-CMD-NORTH
TR045-J	TR045	11.91					250.3	0.0	34.1	331.6	-42.0	This study	SO-CMD-NORTH
TR045-K	TR045	10.86					253.3	0.0	34.1	331.6	-31.0	This study	SO-CMD-NORTH
TR045-L	TR045	10.99					250.3	0.0	34.1	331.6	-28.0	This study	SO-CMD-NORTH
TR045-N	TR045	11.33					-83.7	0.0	34.1	331.6	-45.0	This study	SO-CMD-NORTH
TR045-P	TR045	10.86					264.3	0.0	34.1	331.6	-45.0	This study	SO-CMD-NORTH
TR045-Q	TR045	10.32					266.3	0.0	34.1	331.6	-47.0	This study	SO-CMD-NORTH
TR035-A	TR035	0.27					109.2	0.0	25.2	357.8	-76.0	This study	SO-CMD-NORTH
TR035-B	TR035	0.35					109.5	0.0	25.2	357.8	-88.0	This study	SO-CMD-NORTH
TR035-C	TR035	0.46					110.7	0.0	25.2	357.8	-85.0	This study	SO-CMD-NORTH
TR035-D	TR035	0.67					97.3	0.0	25.2	357.8	-88.0	This study	SO-CMD-NORTH
TR035-F	TR035	1.05					106.3	0.0	25.2	357.8	-95.0	This study	SO-CMD-NORTH
TR035-G	TR035	0.93					112.8	0.0	25.2	357.8	-95.0	This study	SO-CMD-NORTH
TR035-H	TR035	2.1					143.3	0.0	19.5	369.3	-74.0	This study	SO-CMD-NORTH
TR035-I	TR035	2.4					208.1	0.0	19.5	369.3	-26.0	This study	SO-CMD-NORTH
TR035-J	TR035	2.31					118.3	0.0	19.5	369.3	-73.0	This study	SO-CMD-NORTH
