tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
TR036-Aa	TR036-A		This study	LP-NOMAG		
TR036-Ba	TR036-B		This study	LP-NOMAG		
TR036-Ca	TR036-C		This study	LP-NOMAG		
TR036-Da	TR036-D		This study	LP-NOMAG		
TR036-Ea	TR036-E		This study	LP-NOMAG		
TR036-Ga	TR036-G		This study	LP-NOMAG		
TR036-Ha	TR036-H		This study	LP-NOMAG		
TR036-Ia	TR036-I		This study	LP-NOMAG		
TR036-Ja	TR036-J		This study	LP-NOMAG		
TR036-Ka	TR036-K		This study	LP-NOMAG		
TR036-Ma	TR036-M		This study	LP-NOMAG		
