sample,zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,discordance,include
17080201,z4,804.12,0.71,807.83,1.73,818.10,5.30,1.74,no
17080201,z1,804.38,0.74,805.03,1.95,806.82,6.32,0.33,yes
17080201,z2,804.67,0.94,804.49,3.20,804.00,10.43,-0.05,yes
17080201,z5,805.02,0.73,805.55,1.17,807.04,2.84,0.28,yes
17080201,z6,805.23,0.80,805.83,1.66,807.48,5.05,0.32,yes
17080201,z3,805.24,0.85,805.36,1.88,805.70,5.85,0.09,yes
HZ-8-2,z18,804.34,0.57,803.51,1.16,801.23,3.36,-0.36,yes
HZ-8-2,z10,804.70,0.63,804.30,1.30,803.21,3.77,-0.16,yes
HZ-8-2,z22,804.92,1.05,802.18,3.41,794.60,12.04,-1.28,yes
HZ-8-2,z23,809.85,1.38,808.78,6.36,805.83,22.85,-0.48,no
HZ-59-6,z89,808.42,1.31,811.45,5.14,819.76,18.09,1.41,yes
HZ-59-6,z5,808.51,1.29,804.95,5.58,795.10,19.50,-1.66,yes
HZ-59-6,z6,809.60,0.85,811.12,2.63,815.31,8.74,0.72,yes
HZ-59-6,z4,810.15,1.17,806.92,4.41,798.04,15.31,-1.49,yes
HZ-59-6,z3,810.55,1.28,805.72,6.14,792.41,21.33,-2.25,yes
HZ-59-6,z9,810.99,6.08,822.57,34.27,854.01,115.84,5.06,yes
HZ-59-6,z24,813.41,0.75,815.79,1.91,822.30,6.02,1.12,no
HZ-59-6,z30,832.33,3.35,836.95,5.23,849.22,15.68,2.02,no
HZ-59-6,z2,1686.09,2.05,1687.11,3.57,1688.38,7.24,0.14,no
HZ-470,z9,809.55,0.53,811.00,1.10,814.95,3.88,0.69,no
HZ-470,z11,814.18,0.34,814.14,0.70,814.03,2.46,0.01,no
HZ-470,z14,815.23,0.52,815.70,0.71,816.99,2.14,0.25,yes
HZ-470,z2,815.35,0.54,815.71,0.80,816.70,1.69,0.20,yes
HZ-470,z3,815.62,0.72,816.98,2.39,820.70,8.28,0.65,yes
HZ-470,z7,815.73,0.99,815.63,0.88,815.35,1.90,-0.02,yes
HZ-470,z8,815.85,0.27,815.87,0.40,815.92,1.25,0.04,yes
HZ-470,z12,815.93,0.36,815.43,0.56,814.06,1.78,-0.20,yes
HZ-470,z1,816.69,0.53,816.90,0.84,817.48,1.95,0.13,no
