site,comp.,n,Dg,Ig,Ds,Is,k,a95
TL9,H,5,47,82.2,122.6,71.8,135.8,6.6
TL10,H,6,255.8,-66,280.4,-58.1,28.3,12.8
TL11,H,4,86.4,68.8,111.1,60.6,60.4,11.9
TL13,H,12,96.6,66.7,110,58.1,59.5,5.7
TL14,H,11,275.1,-65.9,286.3,-59,127.6,4.1
TL15,H,14,67,67.6,90.3,62.3,73,4.9
TL22,H,10,87.8,65.1,93.4,63.6,52.6,6.7
TL28,H,7,58.1,65.6,74.2,63.2,31,11
TL3,H,8,95,66,105.1,64.1,248.5,3.5
TL4,H,12,87.5,69.9,117.7,60.8,59.1,5.7
TL7,Hg,4,253.1,-71.6,271,-67.2,344.5,9.5
TL17,Hg,9,285.9,-60.7,291,-50.2,13.5,15.3
TL30,H,8,76.8,69.5,99.9,62,102.5,5.5
TL33,H,5,76.4,73.2,99.6,66.1,20.6,17.3
