Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE
Laurentia,"MEAN Wyoming ""Gunbarrel"" dykes",new,"site-weighted mean of 3 studies (Tobacco Root B, Christmas Lake, Mt Moran)",,0,44.8,248.7,14,228,300.8,-18.8,18.8,1000,0.1,13.9,129.4,8.2,8.2,8.2,1,-18.8,13.9,129.4,8.2,8.2,8.2,1,-18.8,13.9,129.4,8.2,8.2,8.2,0or100,4,1,1,1,1,1,1,0,1,0,0,4,B,778,776,780,"778+/-2, GPMDB4.6","MEAN Wyoming ""Gunbarrel"" dykes",LULEÅ WORKING GROUP MEAN,2009,,,,
Laurentia,Dubawnt Group,2737,,"C+,Rc",100,64.1,265.6,30,130,347,-50,50,17,7,7,277,8,8,8,0.6,-63.3,-19.4,95.3,8.7,11,9.8,0.6,-63.3,-19.4,95.3,8.7,11,9.8,63,3,1,1,1,1,1,1,1,1,1,0,6,B,1785,1750,1820,"possibly ca.1750 ovp (Th.Raub 08 PhD thesis); ages from eastern Baker Lake ca.1810 Ma, Rainbird ages, Th.Raub thesis",Dubawnt Group,"Park,J.K., Irving,E., Donaldson,J.A.",1973,Geol.Soc.Amer.Bull.,84,859-870,Paleomagnetism of the Dubawnt Group
Laurentia,Spokane Formation,9039,Primary,F+,100,48.2,246.8,8,231,206.3,23.7,23.7,86.4,6,-24.8,215.5,4.7,4.7,4.7,0.6,36.2,-17.8,220.9,4.1,7,5.3,0.6,36.2,-17.8,220.9,4.1,7,5.3,0,4,1,1,1,1,1,1,1,1,0,1,6,A,1458,1445,1470,"pre-1454±9, slightly revised from GPMDB4.6",Spokane Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada"
Laurentia,Snowslip Formation,9038,Primary,"F+,Ro",100,47.9,245.9,9,295,30.9,-20.6,20.6,128.8,4.6,-24.9,210.2,3.5,3.5,3.5,0.6,-32.1,19.1,34.7,2.9,5.2,3.9,0.6,-32.1,19.1,34.7,2.9,5.2,3.9,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,A,1450,1436,1463,"1436-1463, new lomagage",Snowslip Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada"
Laurentia,McNamara Formation,9031,,"F+,Rc",100,46.9,246.4,10,195,37.2,-36.6,36.6,42.8,7.5,-13.5,208.3,6.7,6.7,6.7,0.6,-51.1,4.5,35.4,6.9,10.1,8.4,0.6,-51.1,4.5,35.4,6.9,10.1,8.4,70,4,1,1,1,1,1,1,1,1,1,1,7,A,1401,1395,1407,"1401±6, GPMDB4.6",McNamara Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada"
Laurentia,"Pilcher, Garnet Range and Libby Formations",9030,,F+,100,46.7,246.4,4,76,28.4,-32.5,32.5,102.2,9.1,-19.2,215.3,7.7,7.7,7.7,0.6,-46.7,11,41.1,7.6,11.7,9.4,0.6,-46.7,11,41.1,7.6,11.7,9.4,100,4,1,1,1,1,1,1,1,1,0,1,6,A,1385,1362,1407,"ok, GPMDB4.6","Pilcher, Garnet Range and Libby Formations","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada"
Laurentia,Nonesuch Shale,2053,,Fo,100,47,271.5,11,27,276.8,8.1,8.1,35,7.8,7.6,178.1,3.9,7.8,5.5,0.6,13.3,9.6,181.2,4.1,8,5.7,0.6,13.3,9.6,181.2,4.1,8,5.7,0,3,1,1,1,1,1,1,0,1,0,0,4,B,1050,1020,1080,", Wingate+02 est",Nonesuch Shale,"Henry,S.G., Mauk,F.J., Van der Voo,R.",1977,Canad.J.Earth Sci.,14,1128-1138,Paleomagnetism of the Upper Keweenawan sediments: the Nonesuch Shale and Freda Sandstone
Laurentia,Freda Sandstone,2051,High temp.,Fo,100,47,271.5,20,85,272.4,1.5,1.5,32,5.9,2.2,179,3,5.9,4.2,0.6,2.5,2.6,180.6,3,5.9,4.2,0.6,2.5,2.6,180.6,3,5.9,4.2,0,3,1,1,1,1,1,1,0,1,0,0,4,B,1050,1020,1080,"looser age constraints than listed in GPMDB4.6, Wingate+02 est",Freda Sandstone,"Henry,S.G., Mauk,F.J., Van der Voo,R.",1977,Canad.J.Earth Sci.,14,1128-1138,Paleomagnetism of the Upper Keweenawan sediments: the Nonesuch Shale and Freda Sandstone
Laurentia,Uinta Mountain Group,new,,,100,40.8,250.7,9,80,270.2,2,2,61.5,6.6,0.8,161.3,3.3,6.6,4.7,0.6,3.3,1.2,161.8,3.3,6.6,4.7,0.6,3.3,1.2,161.8,3.3,6.6,4.7,45or55,4,1,1,1,1,1,1,0,1,1,0,5,B,775,750,800,", new",Uinta Mountain Group,"Weil, A.B., Geissman, J.W., Ashby, J.M.",2006,Precambrian Res.,147,234-259,"A new paleomagnetic pole for the Neoproterozoic Uinta Mountain supergroup, Central Rocky Mountain States, USA"
Laurentia,Cleaver Dykes,9139,,"C+, C*+",0,67.5,242,17,102,136.5,57.4,57.4,64,4.5,19.4,276.7,6.1,6.1,6.1,1,57.4,19.4,276.7,6.1,6.1,6.1,1,57.4,19.4,276.7,6.1,6.1,6.1,0or100,4,1,1,1,1,1,1,1,1,0,1,6,A,1741,1736,1745,"ok, GPMDB4.6",Cleaver Dykes,"Irving,E., Baker,J., M. Hamilton,M., Wynne,P.J.",2004,Precambrian Res.,129,251-270,"Early Proterozoic geomagnetic field in western Laurentia: implications for paleolatitudes, local rotations and stratigraphy"
Laurentia,Western Channel Diabase,2669,,"Co,C+ in Irving+04",0,66.4,242.2,35,130,356,-50,50,35,6,9,245,5.1,8.6,6.6,1,-50,9,245,5.1,8.6,6.6,1,-50,9,245,5.1,8.6,6.6,100,2,1,1,1,1,1,0,1,1,0,1,5,A,1590,1587,1593,"ca.1590, GAC 07 Yellowknife",Western Channel Diabase,"Irving,E., Donaldson,J.A., Park,J.K.",1972,Canad.J.Earth Sci.,9,960-971,"Paleomagnetism of the Western Channel Diabase and associated rocks, Northwest Territories"
Laurentia,St.Francois Mountains Acidic Rocks,8932,,"C*+,F+,G+",100,37.5,269.5,18,103,233.4,36.9,36.9,27,6.8,-13.2,219,4.7,8,6.1,1,36.9,-13.2,219,4.7,8,6.1,1,36.9,-13.2,219,4.7,8,6.1,0or100,4,1,1,1,1,1,1,1,1,0,1,6,A,1476,1460,1492,"ok, GPMDB4.6",St.Francois Mountains Acidic Rocks,"Meert, J.G., Stuckey, W.",2002,Tectonics,21(2),"1007, doi:10.1029/2000TC001265","Revisiting the paleomagnetism of the 1.476 Ga St.Francois Mountains igneous province, Missouri."
