Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE
Australia-N,Wollogorang Formation,7605,High Temp.,"F+,Ro",100,-17.1,135.9,,11,284.8,-22.8,22.8,29.6,8.5,-17.9,218.2,7.2,7.2,7.2,1,-22.8,-17.9,218.2,7.2,7.2,7.2,1,-22.8,-17.9,218.2,7.2,7.2,7.2,MIXED,4,1,0,1,1,0,1,1,1,1,0,5,B,1727,1723,1730,"1723-1730, see Idnurm 00",Wollogorang Formation,"Idnurm,M., Giddings,J.W., Plumb,K.A.",1995,Precambrian Res.,72,Jan-41,"Apparent polar wander and reversal stratigraphy of the Palaeo-Mesoproterozoic southeastern McArthur Basin, Australia"
Australia-N,Fiery Creek Formation,8734,B Component,Fo,100,-19.7,139.2,5,37,108,40.1,40.1,67.6,9.4,-23.9,211.8,10.4,10.4,10.4,1,40.1,-23.9,211.8,10.4,10.4,10.4,1,40.1,-23.9,211.8,10.4,10.4,10.4,0or100,4,1,1,1,1,1,1,0,1,0,0,4,B,1709,1706,1712,"1709±3, GPMDB4.6",Fiery Creek Formation,"Idnurm, M.",2000,Aust.J.Earth Sci.,47,405-429,Towards a high resolution Late Palaeoproterozoic - earliest Mesoproterozoic apparent polar wander path for northern Australia
Australia-N,West Branch Volcanics,8719,A Component,G*+,100,-14.3,133.2,6,105,100.4,42.9,42.9,41.2,10.6,-15.9,200.5,11.3,11.3,11.3,1,42.9,-15.9,200.5,11.3,11.3,11.3,1,42.9,-15.9,200.5,11.3,11.3,11.3,0or100,4,1,1,1,1,1,1,1,1,0,0,5,A,1709,1705,1712,"1705-1712, see Idnurm 00, Kruse+94",West Branch Volcanics,"Idnurm, M.",2000,Aust.J.Earth Sci.,47,405-429,Towards a high resolution Late Palaeoproterozoic - earliest Mesoproterozoic apparent polar wander path for northern Australia
Australia-N,Mt.Isa Metamorphosed Dykes (IM),7550,,Rc,0,-20.6,139.7,9,70,186.1,49,49,56.5,6.9,-79,110.6,8.4,8.4,8.4,1,49,-79,110.6,8.4,8.4,8.4,1,49,-79,110.6,8.4,8.4,8.4,33or67,4,1,1,1,1,1,1,0,0,1,0,4,B,1525,1500,1550,Isotopic ages 1500-1550 Ma for last stage of metamorphism,Mt.Isa Metamorphosed Dykes (IM),"Tanaka,H., Idnurm,M.",1994,Precambrian Res.,69,241-258,"Palaeomagnetism of Proterozoic mafic intrusions and host rocks of the Mount Isa inlier, Australia: revisited"
Australia-N,Mt.Isa Dolerite Dykes (IAR),7549,Combined Result,,0,-20.8,139.7,9,56,322.8,82.5,82.5,9.6,17.4,-9.5,131.1,17.4,17.4,17.4,1,82.5,-9.5,131.1,17.4,17.4,17.4,1,82.5,-9.5,131.1,17.4,17.4,17.4,0or100,4,1,1,0,0,0,1,0,1,0,1,4,B,1140,1139,1141,"1140±1, Claoue-Long quoted in Wingate+Evans 03",Mt.Isa Dolerite Dykes (IAR),"Tanaka,H., Idnurm,M.",1994,Precambrian Res.,69,241-258,"Palaeomagnetism of Proterozoic mafic intrusions and host rocks of the Mount Isa inlier, Australia: revisited"
Australia-N,Alcurra dykes+sills,9301,,F+,100,-25.9,133.1,9,47,291.2,50.8,50.8,41.9,8,2.8,80.4,7.2,10.7,8.8,1,50.8,2.8,80.4,7.2,10.7,8.8,1,50.8,2.8,80.4,7.2,10.7,8.8,0or100,4,1,1,1,1,1,1,1,0,0,1,5,B,1077,1064,1089,"Ar/Ar biotite ages range from 1066±2 to 1085±4, authors' data",Alcurra dykes+sills,"Schmidt,P.W., Williams,G.E., Camacho,A., Lee,J.K.W.",2006,Geophys.J.Int.,167,626-634,"Assembly of Proterozoic Australia: implications of a revised pole for the ~1070 Ma Alcurra Dyke Swarm, central Australia"
Australia-S,Blue Range beds & Pandurra formation,9399,,F+,100,-33.1,136,34,151,242.6,48.3,48.3,51.7,3.1,-38.4,62.4,3.5,3.5,3.5,0.6,61.9,-40.9,76.9,3.7,4.8,4.2,0.8,54.5,-39,66.7,3.1,4.4,3.7,MIXED,4,0,1,1,1,1,1,1,1,1,0,5,B,1440,1300,1580,"1440, APWP interpol",Blue Range beds & Pandurra formation,"Schmidt, P.W., Williams, G.E.",2011,Aust. J. Earth Sci.,58,347-360,
Australia-S,Angepena Formation,9523,,"F+,Rb",100,-31,138,13,71,24.8,8.4,8.4,43.7,6.3,47.1,176.6,5.3,5.3,5.3,0.6,13.8,45.2,174.2,3.3,6.4,4.6,0.8,10.5,46.7,175.5,3.2,4.6,4.5,31or69,4,1,1,1,1,1,1,1,1,1,1,7,B,650,640,660,"Younger than c. 659 Ma Wilyerpa Fm, older that c. 635 Ma Elatina Fm",,,,,,,
Australia-S,MEAN Elatina Formation,NEW,4 studies,"F*+,F+,R-",var.,-32,138.5,4,257,196.4,-9.8,9.8,1000,0.1,-49.9,344.4,13.5,13.5,13.5,0.6,-16.1,-46.9,342.6,13.5,13.5,13.5,0.8,-12.2,-48.8,343.7,13.5,13.5,13.5,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,A,640,635,645,"S.China (636-654), Calver+04; Zhang+08",MEAN Elatina Formation,LULEÅ WORKING GROUP MEAN,2009,,,,
Australia-S,Nuccaleena Formation,9323,,"F+,F*o,F*-",100,-31.6,138.8,10,141,208.3,-34.9,34.9,13.1,3.4,-32.3,350.8,2.9,3.9,3.363034344,0.6,-49.3,-22.6,345.2,3,4.5,3.7,0.8,-41.1,-28.6,348.5,2.5,4.1,3.2,73,4,1,1,1,1,1,1,1,1,1,1,7,A,633,630,635,"632.5, Calver+14",Nuccaleena formation (Elatina) -C,"Schmidt, P.W., Williams, G.E., M",2009,Precambrian Res.,174,35-52,
Australia-S,Yaltipena Formation,8514,C Component,"F+,R-",100,-31.3,138.7,16,36,204,-16.4,16.4,12.2,11,-44.2,352.7,5.9,11.4,8.2,0.6,-26.1,-39.4,349.4,6.4,11.9,8.8,0.8,-20.2,-42.4,351.5,6,11.5,8.3,50,4,0,1,1,1,1,1,1,1,1,1,6,B,613,580,645,"643±2.4 max Re-Os age from underlying Tapley Hill, directly below Elatina",Yaltipena Formation,"Sohl,L.E., Christie-Blick,N., Kent,D.E.",1999,Geol.Soc.Amer.Bull,111,1120-1139,Paleomagnetic polarity reversals in Marinoan (ca.600 Ma) glacial deposits of Australia: implications fot the duration of low-latitude glaciation in Neoproterozoic time
Australia-S,Brachina Formation,9348,,"F+, R-",100,-32.2,138,11,91,178.2,-22.6,22.6,12.4,4.4,-46,315.4,3.3,3.3,3.3,0.6,-34.8,-38.6,315.8,2.9,5.1,3.8,0.8,-27.5,-43.2,315.6,2.6,4.8,3.6,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,B,611,590,632,"611, correlation, accumulation model",Brachina formation -C,"Schmidt, P.W., Williams, G.E.",2010,Geophys. J. Int.,182,711-726, 
Australia-S,Brachina Formation,1168,,F+,100,-30.5,139,8,24,189,-44,44,13.5,16,-33,328,12,20,15.5,0.6,-58.1,-20.2,326.5,17.4,23.6,20.3,0.8,-50.4,-27.8,327.7,14.4,21.5,17.6,0or100,3,0,0,1,1,0,1,1,1,0,1,4,B,603,570,635,"570-635, alternative correlations",Brachina Formation,"McWilliams,M.O., McElhinny,M.W.",1980,J.Geol.,88,26-Jan,Late Precambrian paleomagnetism in Australia: the Adelaide Geosyncline
Australia-S,Bunyeroo Formation,8114,,"F+,Ro",100,-31.6,138.6,6,116,56.6,29.3,29.3,40.4,10.7,18.1,196.3,6.5,11.8,8.8,0.6,43.1,11.7,189.2,8.2,13.3,10.5,0.8,35,15.6,193.5,7.1,12.3,9.4,MIXED,4,0,1,1,1,1,1,1,1,1,1,6,A,590,565,615,"565-615, interpolation between Elatina and Bonney",Bunyeroo Formation,"Schmidt,P.E., Williams,G.E.",1996,Earth Planet.Sci.Letters,144,347-357,"Palaeomagnetism of the ejecta-bearing Bunyeroo Formation, late Neoproterozoic, Adelaide fold belt, and the age of the Acraman impact"
Australia-S,Wonoka Formation,9349,,"F+, R-",100,-31.5,138.6,1,70,255.9,-23.7,23.7,8.1,6.4,5.2,210.5,4.9,4.9,4.9,0.6,-36.2,-0.9,24.2,4.3,7.4,4.7,0.8,-28.8,-3.6,28.2,3.9,7,5.2,38or62,4,1,1,0,1,0,1,1,1,1,1,6,B,570,550,590,"570, correlation, accumulation model",Wonoka formation -C,"Schmidt, P.W., Williams, G.E.",2010,Geophys. J. Int.,182,711-726,
Australia-S,Gawler Range Volcanics,1962,,,0,-31.3,135.3,5,52,34.2,-48.1,48.1,15.1,5.2,-60.4,50,6.2,6.2,6.2,1,-48.1,-60.4,50,6.2,6.2,6.2,1,-48.1,-60.4,50,6.2,6.2,6.2,0,3,0,1,1,1,1,1,0,1,0,0,3,B,1545,1500,1590,"ca.1590 (postfold?), Bulletin 54",Gawler Range Volcanics,"Chamalaun,F.H., Dempsey,C.E.",1978,J.Geol.Soc.Austr.,25,255-265,Palaeomagnetism of the Gawler Range Volcanics and implications for the genesis of the Middleback hematite orebodies
Australia-W,"Lancer borehole, Browne Formation",9314,,,0,-25,123.8,14,27,193.4,-33.8,33.8,27,7.9,44.5,141.7,5.1,9,6.8,0.6,-48.1,-34.3,318,6.8,10.3,8.4,0.6,-48.1,-34.3,318,6.8,10.3,8.4,0or100,4,0,1,1,1,1,1,0,1,0,1,4,B,855,810,900,"well below Bitter Springs anomaly, correlations by Kath Grey","Lancer borehole, Browne Formation",Pisarevsky+07,2007,Aust.J.Earth.Sci.,54,561-572,
Australia-W,"HP2 overprint, Southern Pilbara",NEW,,F-,0,-23,118,38,1000,304.2,-18.1,18.1,28,4.5,-35.3,211.9,3,3,3,1,-18.1,-35.3,211.9,3,3,3,1,-18.1,-35.3,211.9,3,3,3,MIXED,4,0,1,1,1,1,1,0,1,1,1,5,B,1750,1700,1800,"affects rocks as young as Duck Creek Dolomite, and is likely associated with late-stage Capricorn Orogeny",,,,,,,
Australia-W,Gnowangerup-Fraser dykes,9437,Group 1,C+,0,-33.7,119.6,14,143,149,74.8,74.8,122.3,3.6,-55.8,143.9,6.3,6.3,6.3,1,74.8,-55.8,143.9,6.3,6.3,6.3,1,74.8,-55.8,143.9,6.3,6.3,6.3,7or93,4,1,1,1,1,1,1,1,1,1,0,6,A,1210,1202,1218,"1210, many U-Pb ages",Gnowangerup-Fraser dykes,"Pisarevsky, S.A., Wingate, M.T.D., Li, Z.-X., Wang, X.-C., Tohver, E., Kirkland, C.L.",2014,Precambrian Res.,246,15-Jan,
Australia-W,Bangemall Sills,8781,A component,"F+,C+,Ro,M",100,-23.6,116.4,11,79,339.9,46.5,46.5,30,8.4,33.8,95,8.3,8.3,8.3,1,46.5,33.8,95,8.3,8.3,8.3,1,46.5,33.8,95,8.3,8.3,8.3,10or90,4,1,1,1,1,1,1,1,1,1,1,7,A,1070,1064,1076,"1070±6, Wingate+02",Bangemall Sills,"Wingate, M.T.D., Pisarevsky, S.A., Evans, D.A.D.",2002,Terra Nova,14,121-128,"Rodinia connections between Australia and Laurentia: no SWEAT, no AUSWUS?"
Australia-W,Mundine Well Dykes Combined,8561,Combined Result,C+,0,-25.5,115,14,116,14.8,31.1,31.1,1000,5,45.3,135.4,4.1,4.1,4.1,1,31.1,45.3,135.4,4.1,4.1,4.1,1,31.1,45.3,135.4,4.1,4.1,4.1,0or100,4,1,1,1,1,1,1,1,1,0,1,6,A,755,752,758,"755±3, GPMDB4.6",Mundine Well Dykes Combined,"Wingate,M.T.D., Giddings,J.W.",2000,Precambrian Res.,100,335-357,"Age and palaeomagnetism of the Mundine Well dyke swarm, Western Australia: implications for an Australia-Laurentia connection at 755 Ma"
Australia-W-Pilbara,Duffer Formation,182,M component,F+,100,-21.3,119.6,11,55,335.5,31.8,31.8,30.6,8.4,43.9,86.3,7.2,7.2,7.2,1,31.8,43.9,86.3,7.2,7.2,7.2,1,31.8,43.9,86.3,7.2,7.2,7.2,0or100,3,0,1,1,1,1,1,1,1,0,0,4,A,3336,3200,3471,"3467±4, see MVK+02; pre-Mt Roe folding affects rocks as young as ???",Duffer Formation,"McElhinny,M.W., Senanayake,W.E.",1980,J.Geophys.Res.,85,3523-3528,Paleomagnetic evidence for the existence of the geomagnetic field 3.5 Ga ago
Australia-W-Pilbara,Mount Roe Basalt,311,,"F+,Rc",100,-21,117.8,12,43,320,-53.8,53.8,45.1,6.5,-52.4,178,6.4,9.1,7.6,1,-53.8,-52.4,178,6.4,9.1,7.6,1,-53.8,-52.4,178,6.4,9.1,7.6,50,5,1,1,1,1,1,1,1,1,1,1,7,A,2772,2770,2774,"2772±2, Wingate 99",Mount Roe Basalt,"Schmidt,P.W., Embleton,B.J.J.",1985,J.Geophys.Res.,90,2967-2984,"Prefolding and overprint magnetic signatures in Precambrian (c.2.9-2.7 Ga) igneous rocks from the Pilbara craton and Hamersley Basin, NW Australia"
Australia-W-Pilbara,"Pilbara Flood Basalts, Package 1",9175,High-T,"G+,Rb,Fo",100,-22,119.7,13,74,129,68,68,231,2.9,-40.8,159.8,3.7,3.7,3.7,1,68,-40.8,159.8,3.7,3.7,3.7,1,68,-40.8,159.8,3.7,3.7,3.7,0or100,4,1,1,1,1,1,1,1,1,0,1,6,A,2772,2770,2774,"2772±2, Wingate 99","Pilbara Flood Basalts, Package 1","Strik,G., Blake,T.S., Zegers,T.E., White,S.H., Langereis,C.G.",2003,J.Geophys.Res.,108,"2551, doi:10.1029/2003JB002475","Palaeomagnetism of flood basalts in the Pilbara Craton, Western Australia: Late Archaean continental drift and the oldest known reversal of the geomagnetic field"
Australia-W-Pilbara,Black Range Dolerite Suite,NEW,,"G*+,C*+",0,-21.8,120.2,9,68,31.5,78.7,78.7,40,8.3,-3.8,130.4,15,15,15,1,78.7,-3.8,130.4,15,15,15,1,78.7,-3.8,130.4,15,15,15,0or100,5,1,1,1,1,1,1,1,1,0,1,6,A,2772,2770,2774,"2772±2, Wingate 99",Black Range Dolerite Suite,Evans et al. 2017 plus early data frfom Embleton et al. 1978.,2017,Aust.J.Earth.Sci.,64,225-237,"Paleomagnetism and U–Pb geochronology of the Black Range dykes, Pilbara Craton, Western Australia: a Neoarchean crossing of the polar circle"
Australia-W-Pilbara,"Pilbara Flood Basalts, Package 2",9176,High-T,"Rb,Fo",100,-22,119.7,3,18,320.9,-69.7,69.7,153.7,10,-46.5,152.7,15.2,15.2,15.2,1,-69.7,-46.5,152.7,15.2,15.2,15.2,1,-69.7,-46.5,152.7,15.2,15.2,15.2,0or100,4,1,0,1,1,0,1,0,1,0,0,3,B,2766,2764,2768,"2766±2, Blake+04","Pilbara Flood Basalts, Package 2","Strik,G., Blake,T.S., Zegers,T.E., White,S.H., Langereis,C.G.",2003,J.Geophys.Res.,108,"2551, doi:10.1029/2003JB002475","Palaeomagnetism of flood basalts in the Pilbara Craton, Western Australia: Late Archaean continental drift and the oldest known reversal of the geomagnetic field"
Australia-W-Pilbara,Mount Jope Volcanics,309,Prefolding,F+,100,-22.8,117.3,5,18,154.1,79.6,79.6,50.2,10.9,-40.5,128.7,19.9,20.8,20.3,1,79.6,-40.5,128.7,19.9,20.8,20.3,1,79.6,-40.5,128.7,19.9,20.8,20.3,0or100,4,1,0,1,1,0,1,1,1,0,1,5,B,2745,2715,2774,"incination correlates to packages 1-7, see Strik+03",Mount Jope Volcanics,"Schmidt,P.W., Embleton,B.J.J.",1985,J.Geophys.Res.,90,2967-2984,"Prefolding and overprint magnetic signatures in Precambrian (c.2.9-2.7 Ga) igneous rocks from the Pilbara craton and Hamersley Basin, NW Australia"
Australia-W-Pilbara,"Pilbara Flood Basalts, Packages 4-7",9177,High-T,Rb,100,-22,119.7,8,46,157.5,72.2,72.2,16,12.5,-50.4,138.2,12.5,12.5,12.5,1,72.2,-50.4,138.2,12.5,12.5,12.5,1,72.2,-50.4,138.2,12.5,12.5,12.5,0or100,4,1,1,1,1,1,1,0,1,0,0,4,B,2730,2720,2740,"2720-2740, Blake+04","Pilbara Flood Basalts, Packages 4-7","Strik,G., Blake,T.S., Zegers,T.E., White,S.H., Langereis,C.G.",2003,J.Geophys.Res.,108,"2551, doi:10.1029/2003JB002475","Palaeomagnetism of flood basalts in the Pilbara Craton, Western Australia: Late Archaean continental drift and the oldest known reversal of the geomagnetic field"
Australia-W-Pilbara,"Pilbara Flood Basalts, Packages 8-10",9178,High-T,,100,-22,119.7,9,49,146.8,49.9,49.9,59,6.1,-59.1,186.3,6.1,6.1,6.1,1,49.9,-59.1,186.3,6.1,6.1,6.1,1,49.9,-59.1,186.3,6.1,6.1,6.1,0or100,4,1,1,1,1,1,1,0,1,0,1,5,B,2716,2710,2721,"2710-2721, Blake+04","Pilbara Flood Basalts, Packages 8-10","Strik,G., Blake,T.S., Zegers,T.E., White,S.H., Langereis,C.G.",2003,J.Geophys.Res.,108,"2551, doi:10.1029/2003JB002475","Palaeomagnetism of flood basalts in the Pilbara Craton, Western Australia: Late Archaean continental drift and the oldest known reversal of the geomagnetic field"
Australia-W-Yilgarn,Widgiemooltha dyke suite,9398,includes data from resultno 1889,"Rc,C+,C*+",0,-32,122,8,137,245.3,-65.5,65.5,92,5.8,8.2,336,8.5,8.5,8.5,1,-65.5,8.2,336,8.5,8.5,8.5,1,-65.5,8.2,336,8.5,8.5,8.5,12or88,4,1,1,1,1,1,1,1,1,1,1,7,A,2415,2412,2418,U-Pb ages: 2410+/-3; 2411+/-2 Ma,Widgiemooltha dyke suite,"Smirnov,A.V., Evans,D.A.D., Ernst,R.E., Söderlund,U., Li,Z.-X.",2013,Precambrian Res.,224,22-Jan,"Trading partners: Tectonic ancestry of southern Africa and western Australia, in Archean supercratons Vaalbara and Zimgarn"
Australia-W-Yilgarn,Erayinia mafic dykes,9540,,,0,-31.2,122.5,8,53,77.6,75.9,75.9,70.2,6.3,22.7,330.5,11.4,11.4,11.4,1,75.9,22.7,330.5,11.4,11.4,11.4,1,75.9,22.7,330.5,11.4,11.4,11.4,0or100,4,1,1,1,1,1,1,0,1,0,0,4,B,2401,2398,2404,"2401, U-Pb (b); authors",Erayinia mafic dykes,"Pisarevsky, S.A., de Waele, B., Jones, S., SÃ¶derlund, U., Ernst, R.E.",2015,Precambrian Res.,259,222-231,"Paleomagnetism and U–Pb age of the 2.4 Ga Erayinia mafic dykes inthe south-western Yilgarn, Western Australia: Paleogeographic andgeodynamic implications"
Australia-W-Yilgarn,Frere Formation,9136,A Component,"Fo,R-",100,-26.3,121.9,2,78,314.3,-24.8,24.8,38.5,2.6,45.2,40,1.3,2.4,1.8,1,-24.8,45.2,40,1.3,2.4,1.8,1,-24.8,45.2,40,1.3,2.4,1.8,12or88,4,1,1,1,1,1,1,0,1,1,0,5,B,1890,1880,1900,"Rasmussen et al 2012, Nature",Frere Formation,"Williams,G.E., Schmidt,P.W., Clark,D.A.",2004,Precambrian Res.,128,367-383,"Palaeomagnetism of iron-formation from the late Palaeoproterozoic Frere Formation, Earaheedy Basin, Western Australia: palaeogeographic and tectonic implications"
