Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE
Australia-N,Tooganinie Formation,7618,,"F+,Ro",100,-17.1,135.9,,72,334.3,-50.1,50.1,11.5,5.2,-61,186.7,6.1,6.1,6.1,0.6,-63.4,54.8,348.1,6.5,8.2,7.3,0.8,-56.2,60,359.9,5.4,7.5,6.4,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,A,1648,1645,1651,"1648±3, Page+00",Tooganinie Formation,"Idnurm,M., Giddings,J.W., Plumb,K.A.",1995,Precambrian Res.,72,Jan-41,"Apparent polar wander and reversal stratigraphy of the Palaeo-Mesoproterozoic southeastern McArthur Basin, Australia"
Australia-N,Emmerugga Dolomite,7619,High Temp.,F+,100,-16.9,135.8,,47,349.1,-36.4,36.4,14.2,5.7,-79.1,202.6,6.1,6.1,6.1,0.6,-50.9,72.3,347.8,5.2,7.7,6.3,0.8,-42.7,77.2,6.4,4.3,7,5.5,0or100,4,1,1,1,1,1,1,1,1,0,0,5,B,1644,1635,1653,"1635-1653, betw Myrtle & Tatoola",Emmerugga Dolomite,"Idnurm,M., Giddings,J.W., Plumb,K.A.",1995,Precambrian Res.,72,Jan-41,"Apparent polar wander and reversal stratigraphy of the Palaeo-Mesoproterozoic southeastern McArthur Basin, Australia"
Australia-N,"Balbirini Dolomite, lower part",8723,,Fo,100,-16.8,135.7,,46,341.1,-51.8,51.8,21.8,4.6,-66.1,177.5,5.7,5.7,5.7,0.6,-64.7,56.3,339.3,5.9,7.4,6.6,0.8,-57.8,62.7,349.3,5,6.8,5.8,13or87,2,1,1,1,1,1,1,0,1,1,1,6,B,1612,1606,1617,"U-Pb(z) ages 1609+/-3, 1613+/-4 Ma on tuffs","Balbirini Dolomite, lower part","Idnurm, M.",2000,Aust.J.Earth Sci.,47,405-429,Towards a high resolution Late Palaeoproterozoic - earliest Mesoproterozoic apparent polar wander path for northern Australia
Australia-N,"Balbirini Dolomite, upper part",8724,,,100,-16.8,135.7,,44,326.5,-60.2,60.2,17.1,5.4,-52,176.1,7.5,7.5,7.5,0.6,-71,43.7,341.3,8.2,9.4,8.8,0.8,-65.4,48.8,350.2,7.1,8.8,7.9,9or91,2,1,1,1,1,1,1,0,1,1,1,6,B,1589,1586,1592,U-Pb(z) age 1589+/-3 Ma on tuffs,"Balbirini Dolomite, upper part","Idnurm, M.",2000,Aust.J.Earth Sci.,47,405-429,Towards a high resolution Late Palaeoproterozoic - earliest Mesoproterozoic apparent polar wander path for northern Australia
Australia-N,"Cap Dolomite, Walsh Tillite",8562,,F+,100,-17.4,125.9,5,27,148.6,-63.3,63.3,62.3,9.8,-21.5,282.4,12.2,15.4,13.7,0.6,-73.2,-9.5,290.1,15.7,17.5,16.6,0.8,-68.1,-16.1,286,13.8,16.5,15.1,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,B,649,635,662,"correlation to either Sturtian cap (662, Zhou+04) or Marinoan cap (635, many ages)",,,,,,,
Australia-N,Elgee-Pentecost combined,9322,,F+,100,-15.7,128.3,17,110,93.9,12.9,12.9,36,6,-5.4,211.8,2.3,4.5,3.2,0.6,20.9,-6.6,208.9,3.3,6.3,4.6,0.6,20.9,-6.6,208.9,3.3,6.3,4.6,0or100,4,1,1,1,1,1,1,1,1,0,0,5,B,1762,1734,1790,"Youngest detrital 1786±14 in underlying Wharton SS, see Schmidt+Williams 08; intruded by Wotjulum Porphyry 1740±6",Elgee-Pentecost combined,Schmidt+Williams 08,2008,Precambrian Res.,167,267-280,
Australia-N,Mallapunyah Formation,7612,High Temp.,"F+,R-",100,-17.1,135.9,,124,122,33,33,17.8,3.1,-35,214.3,3.1,3.1,3.1,0.6,47.3,-35.8,202.8,2.6,4,3.2,0.6,47.3,-35.8,202.8,2.6,4,3.2,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,A,1655,1645,1665,"1645-1665, Page+00",Mallapunyah Formation,"Idnurm,M., Giddings,J.W., Plumb,K.A.",1995,Precambrian Res.,72,Jan-41,"Apparent polar wander and reversal stratigraphy of the Palaeo-Mesoproterozoic southeastern McArthur Basin, Australia"
Australia-N,Johnny's Creek siltstones,9569,B Component,F+,100,-24,133.5,7,98,122.8,-44.6,44.6,28.3,11.5,15.8,83,13.5,13.5,13.5,0.6,-58.7,-7.1,272.6,12.7,17.1,14.7,0.6,-58.7,-7.1,272.6,12.7,17.1,14.7,0or100,4,1,1,1,1,1,1,1,1,0,1,6,B,760,730,790,"760, correlations",Johnny's Creek siltstones,"Swanson-Hysell, N., Maloof, A., Kirschvink, J.C., Evans, D.A.D., Halverson, G.P., Hartgen, M.T.",2012,Am. J. Sci.,312,817-884,
Australia-N,Lower Arumbera and Upper Pertatataka Formations,1956,High temp.Comp.,"F+,U+,Ro",100,-23.4,133.4,,12,20.2,32.4,32.4,14,12,-44.3,341.9,7.7,13.6,10.2,0.6,46.6,35.2,155.3,9.9,15.4,12.4,0.6,46.6,35.2,155.3,9.9,15.4,12.4,MIXED,3,1,0,1,1,0,1,1,1,1,1,6,A,561,542,580,"542-580, correlations",Lower Arumbera and Upper Pertatataka Formations,"Kirschvink,J.L.",1978,Earth Planet.Sci.Letters,40,91-100,"The Precambrian-Cambrian boundary problem: paleomagnetic directions from the Amadeus Basin, Central Australia"
Australia-N,"Peters Creek Volcanics, upper part",8725,A Component,"G+,Ra",100,-17.8,138.2,9,69,293,-26.4,26.4,88.3,5.5,-26,221,4.8,4.8,4.8,1,-26.4,-26,221,4.8,4.8,4.8,1,-26.4,-26,221,4.8,4.8,4.8,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,A,1727,1725,1729,"1725-1729, see Idnurm 00","Peters Creek Volcanics, upper part","Idnurm, M.",2000,Aust.J.Earth Sci.,47,405-429,Towards a high resolution Late Palaeoproterozoic - earliest Mesoproterozoic apparent polar wander path for northern Australia
